# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:41 BST 2015 [seed=1430153560514]
state	age(CHICKEN_THAILAND_KANCHANABURI_CK_160_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7946.989566399537	-367.14815822442796	-7579.841408175109	256.12992813234644	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1804.0317583359124	-1703.7388774088072	-4072.0707724303898	-110.97951575165396
1000	1.038320844496899	-5068.443812459777	-352.7682018036188	-4715.675610656159	26.87526614908859	141.36493057240665	94.02817513322155	52.38121989365393	31.788427642041814	76.507009156619	1.0	5.0	5.0	6.0	3.0	3.67113608638629	0.5529751218012819	0.5879793777270764	1.8590455004716415	0.0013586609339238409	-1294.2690270108878	-1236.3264751421314	-2185.0801085031403	-95.10940845152327
2000	1.0152742175122067	-4734.709178958777	-352.7786338211714	-4381.930545137605	33.26493643110833	112.87767253808369	86.35286312604258	21.424005051020455	49.23918783669215	29.928028875245932	2.0	2.0	3.0	12.0	1.0	6.049050199632493	0.6003920615077956	0.5292508040293186	1.8703571344628855	8.46295017371672E-4	-1238.6343969319737	-1195.7195025923772	-1947.5766456132542	-95.92873123775455
3000	3.201924329042679	-4725.3089571716555	-346.78947489648294	-4378.519482275173	34.465334729658274	166.53148869772517	70.7988401736941	24.527281229284633	26.950421212686006	28.22352877947432	5.0	1.0	4.0	8.0	2.0	8.165943049580939	0.553466869178313	0.5382513705389946	1.908281760282692	8.214443304825974E-4	-1233.7421758735327	-1192.043928434428	-1952.733377967212	-90.52939039310594
4000	2.242961693301546	-4719.147007033411	-343.6804159050347	-4375.466591128376	28.160101209017732	403.457863131167	368.6847234853153	25.015142286854196	17.276953608625615	9.711930171215855	1.0	1.0	9.0	5.0	4.0	9.020795440715352	0.6438804118778655	0.47055873502127743	1.885560853100857	9.51511477415352E-4	-1237.248280145994	-1194.206801810877	-1944.0115091715054	-85.00897951074899
5000	1.356020257068338	-4728.306631626524	-356.221925096867	-4372.084706529657	29.431866526689696	794.9315996979784	773.9234393049926	76.9903843283249	19.570251684941613	42.82963566608881	1.0	2.0	5.0	7.0	5.0	8.32536038959938	0.5031402346406242	0.6938105106745927	1.803049254684783	9.1512429502919E-4	-1234.6988977186825	-1195.2493754443688	-1942.136433366605	-93.00268220617176
6000	0.5501237621128177	-4718.544956381365	-346.59945304429573	-4371.94550333707	23.22669724306646	349.36825573744306	980.1281905272647	67.22907172578513	36.038170151896956	13.001604656543055	1.0	1.0	1.0	9.0	8.0	8.415774453294196	0.6036850187269783	0.5194293724591856	1.8768856088138357	0.0011690272104576925	-1237.1196084152143	-1194.4316518160147	-1940.3942431058404	-84.04736932243235
7000	1.262132211180709	-4717.911144830624	-347.0754349964666	-4370.835709834158	22.432396130910874	863.7005787237056	677.7543987713491	190.2677792161639	44.72498331583786	9.43283514858024	1.0	1.0	2.0	4.0	12.0	9.793201488422383	0.53894096277138	0.5542764889901841	1.9067825482384355	0.0011750385712550099	-1234.3338825162957	-1196.8078246808486	-1939.6940026370128	-83.93362186940104
8000	0.6127020469107554	-4721.055781117623	-349.6562513550925	-4371.399529762531	22.80698904909152	2939.0884621739037	1758.207000936132	77.55341278029908	51.037606997438836	24.469197420797396	1.0	1.0	1.0	2.0	15.0	8.07910748896617	0.6647518974290649	0.5798534845989209	1.7553946179720141	0.0014240373462255066	-1234.1900591936064	-1193.1383623839633	-1944.0711081849606	-83.80131634385904
9000	0.8615736118499213	-4714.658287536292	-344.9934118005707	-4369.664875735722	21.693192028658192	2988.9209453666117	533.5181425037581	33.96931329701896	42.36292438776424	14.91218491723121	1.0	1.0	1.0	3.0	14.0	9.629251458872893	0.57031699162877	0.46055834532041817	1.969124663050812	0.0013196807211592575	-1235.8860077431502	-1191.4241562799343	-1942.354711712637	-81.07226419412444
