# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:43 BST 2015 [seed=1430153561778]
state	age(DUCK_GUANGZHOU_20_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7343.6057910332975	-366.7038780117315	-6976.901913021566	134.5893513422727	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1668.1031172002047	-1571.77182313734	-3737.026972684021	-110.5352355389575
1000	1.4832707625822856	-5092.610081652771	-378.95027038501826	-4713.659811267753	55.48471052230043	819.1222440896262	183.70743769525944	100.04266611886192	172.54046297606527	51.190629825944605	6.0	3.0	2.0	2.0	7.0	2.776696424150459	0.5894336138122291	0.44136679586243144	1.9691995903253394	3.9311155354958125E-4	-1293.5265211040198	-1247.9354210090817	-2172.1978691546515	-116.49425350585962
2000	3.6194834439010117	-4794.22295806861	-381.41734218607974	-4412.80561588253	92.13851780134404	406.6238911485106	347.564066298683	52.413713229767666	154.09138579532342	40.17427477208832	3.0	6.0	5.0	1.0	5.0	8.953104906989656	0.4477404217866058	0.6116449639873701	1.9406146142260239	2.626482849906939E-4	-1236.8437765649055	-1212.008049737607	-1963.9537895800174	-117.8972102776389
3000	3.0849070242627983	-4753.833255656159	-373.97048710599546	-4379.862768550163	87.67982105408306	341.80341600997434	201.935953665866	46.139983506979156	91.26986953170145	40.343401907656435	4.0	6.0	5.0	1.0	4.0	7.726249779964444	0.6113763127162819	0.4713857981031045	1.9172378891806134	3.298058980563895E-4	-1235.697927714853	-1200.3437218824524	-1943.821118952858	-113.10601647981441
4000	1.3783832229790842	-4744.555413070346	-363.5662767640292	-4380.989136306316	59.13755227257475	233.41814753459366	142.6431407558551	25.53541702989328	22.11446398300577	28.512832254435505	5.0	2.0	6.0	1.0	6.0	8.645661382120503	0.6539692857704148	0.580901384356696	1.765129329872889	4.6609893204604936E-4	-1238.7652700592864	-1195.1733839233266	-1947.0504823237031	-106.00292032898012
5000	1.8613353098474057	-4747.834832667848	-372.47620358183076	-4375.358629086017	71.71594945223495	403.54477061340884	154.39835970619302	52.436009390553885	40.3397001937474	25.37046097293912	3.0	7.0	1.0	4.0	5.0	7.246747970626404	0.6299420265469043	0.5628207402981087	1.8072372331549866	3.9349131989623666E-4	-1235.5132688866845	-1191.37029973106	-1948.4750604682724	-113.4196472286448
6000	2.861598300997289	-4736.004192201126	-358.3267852331354	-4377.6774069679905	51.472448168521936	201.7385882332275	62.500965187965576	37.498024788109774	58.96382420165055	22.399095130468563	2.0	2.0	4.0	9.0	3.0	7.304339838420474	0.5846294134783783	0.46142864928282956	1.9539419372387918	5.593032048541745E-4	-1236.941485811313	-1198.466133385901	-1942.269787770776	-100.76736655950783
7000	1.785273028465561	-4727.900781402895	-355.176211632898	-4372.724569769996	36.3425455481379	382.54588606586344	39.87572987873837	15.799322557104786	44.584959208137555	14.661915967117164	4.0	2.0	4.0	8.0	2.0	8.067155342787494	0.7026155481404422	0.5682963863354439	1.7290880655241132	6.040005837905064E-4	-1233.9502876382655	-1192.1111000170959	-1946.6631821146348	-97.0418136587601
8000	1.844884859033967	-4722.283800909547	-348.22230268409544	-4374.061498225451	33.004627269110436	495.08112048665254	66.45877877101809	8.93732104639288	31.943754127772113	12.184197747763179	1.0	4.0	2.0	10.0	3.0	9.068712913408106	0.5795901144518802	0.6125431500965905	1.8078667354515285	7.651123034971308E-4	-1235.041366385414	-1197.5618581925037	-1941.4582736475331	-89.27438350056524
9000	2.3691913004198764	-4723.767027619886	-347.7460841562047	-4376.020943463682	33.008962728695984	1095.5343352461418	57.270267618347255	30.044416361249304	25.198928326325223	16.989080011826413	1.0	1.0	8.0	6.0	4.0	7.991901538688289	0.5410450205881487	0.44570467368001687	2.0132503057318334	7.522866128419993E-4	-1235.692702630729	-1195.8723024919707	-1944.4559383409821	-88.64408652968906
