# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:43 BST 2015 [seed=1430153561777]
state	age(CK_HK_WF157_2003)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	2.0	-8115.731217458321	-374.58119025496944	-7741.150027203352	353.83952556624394	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1911.5887252883665	-1788.8977506564015	-4040.6635512585835	-118.41254778219545
1000	5.214849604743373	-5125.4755582099315	-374.2125741330853	-4751.262984076846	49.28033584340898	266.3942049916319	266.0364472559771	69.62545235898507	88.20034458458824	64.71437025002142	2.0	9.0	4.0	1.0	4.0	4.3044562361741905	0.6576215028689156	0.3459118010532729	1.9964666960778112	5.130397954005738E-4	-1277.4417926531987	-1246.2448854378254	-2227.5763059858214	-113.75721103483592
2000	7.061409999741456	-4756.44196519631	-370.6926052747243	-4385.749359921586	59.31143255680828	360.9703223091219	320.3844300848521	63.7900695502655	40.01536763700508	36.30849581170244	1.0	5.0	1.0	4.0	9.0	10.17105774835832	0.60088432572011	0.666940361900239	1.7321753123796506	4.500245578634696E-4	-1238.383078552019	-1192.9195695738083	-1954.4467117957581	-110.10124476556264
3000	6.753648922864674	-4742.006680411064	-366.2068726812933	-4375.799807729771	52.277917987354	1195.8885123064542	285.16458514875285	167.18088883217158	29.891320457066303	53.93459418604693	1.0	2.0	1.0	1.0	15.0	8.204788087350103	0.7712919321138824	0.6674767140464934	1.561231353839624	4.644003117431358E-4	-1235.7738465882483	-1193.5992853470204	-1946.4266757945022	-102.69277716667203
4000	5.707815836640387	-4731.96681188913	-361.4070517161682	-4370.559760172962	51.21964769661436	547.2275291829324	226.0377280277312	42.35455274194909	38.86771678214175	44.20406244497432	2.0	1.0	1.0	1.0	15.0	8.394959259101505	0.6073724498341547	0.4979753432367485	1.894652206929097	4.883780642145979E-4	-1235.158324866485	-1195.4798761804348	-1939.9215591260424	-100.92883155320816
5000	5.609601340486234	-4734.737860728001	-360.5048034497945	-4374.233057278206	43.12058109286484	252.90568952173095	298.1736981146986	69.48494396315795	67.8981583319896	38.511063969820654	2.0	1.0	5.0	2.0	10.0	9.436057379414237	0.5922395318710365	0.5320465631380629	1.8757139049909006	6.309846357845896E-4	-1234.5696886538747	-1196.1187939102444	-1943.5445747140868	-99.82254838176763
6000	8.196588435420203	-4731.8756887990385	-355.4416435886453	-4376.434045210393	43.648899031442106	348.1779803160819	185.49968485321168	29.194421172411886	48.62817385115679	45.8891783443742	1.0	2.0	4.0	1.0	12.0	8.914055011327356	0.5639390689289396	0.6159182334413343	1.820142697629726	7.015161340967197E-4	-1236.2727697980629	-1198.4547350427201	-1941.7065403696108	-95.50934702175908
7000	7.364387187809134	-4731.58802506682	-354.0905390002406	-4377.497486066579	35.32781940251005	200.0686503741196	134.4693156600623	134.39282793555176	46.545050513583774	25.680301381580488	1.0	1.0	1.0	10.0	7.0	10.903562829165821	0.6150545131404213	0.533163879936697	1.8517816069228819	7.718138599433883E-4	-1238.8349797842263	-1196.8040863405	-1941.8584199418533	-94.63348231172475
8000	8.511741947518818	-4724.908918906487	-351.58530030926204	-4373.3236185972255	33.923603732065054	850.0715406327311	111.0375497521652	37.79723365474264	42.894341830380306	16.62514156695706	1.0	4.0	1.0	8.0	6.0	9.437563910237397	0.6150545131404213	0.5823768112938696	1.8025686755657093	8.453018275084426E-4	-1235.5219048475594	-1193.4691947902138	-1944.332518959452	-91.49714838818389
9000	11.41041997166999	-4729.486937247152	-350.9551115089911	-4378.531825738161	42.11584700249197	1273.5287544761347	102.93035364660669	24.45748863609325	33.377590729613544	15.303222688989823	1.0	1.0	5.0	9.0	4.0	7.1176635498503735	0.5130030050267175	0.5249581919348382	1.9620388030384446	6.597727225826352E-4	-1238.596911640159	-1194.6449835437768	-1945.2899305542253	-90.95441362545964
10000	9.735951198863049	-4726.01673450067	-351.61027655104937	-4374.406457949621	30.162411227163773	1240.962659782563	56.09463371462344	16.996348425631663	18.851744072229227	16.194636635483405	2.0	4.0	3.0	10.0	1.0	9.154968594821165	0.5681365592713576	0.6042781382532727	1.8275853024753699	8.20212089753152E-4	-1237.942652303543	-1195.3028349663052	-1941.1609706797722	-92.77712748987597
11000	10.600689211798107	-4727.80523081461	-351.2228076268517	-4376.582423187758	38.20329077445004	1844.68685675417	38.74207591589013	29.22556090597565	18.107831335358238	21.597586780688285	1.0	1.0	3.0	13.0	2.0	9.169697399165578	0.6235948380051525	0.5169054295461044	1.8594997324487434	8.666363670997467E-4	-1236.9882093480342	-1197.3362207636117	-1942.2579930761121	-91.1922760632208
12000	9.280594235520354	-4727.284035815924	-355.73887486737146	-4371.545160948553	38.12303170815237	551.0486632755214	101.77443883724149	59.639897470521404	52.98937763452828	22.873795798025334	2.0	1.0	3.0	12.0	2.0	9.629820365699977	0.6810393375735564	0.5054054182499021	1.8135552441765417	7.62961107382407E-4	-1238.098548654255	-1194.256511028816	-1939.1901012654816	-95.81983017469767
13000	8.776336169246317	-4731.8588372220365	-353.0582836346563	-4378.80055358738	37.5080465172514	400.25568999564655	113.03596268368122	64.50673026088997	29.661960489484535	16.19115827240834	1.0	1.0	5.0	11.0	2.0	13.242093968408739	0.5475657927091193	0.5210658445738062	1.9313683627170748	6.949035375454197E-4	-1240.5524046960938	-1194.201683090505	-1944.046465800781	-94.08905835619903
14000	5.743063092587622	-4737.4297907904765	-355.6742049869397	-4381.755585803537	35.84735902194781	404.8691020854388	407.0224310230486	77.15116680408632	41.0008440608922	21.306923725726296	1.0	1.0	1.0	8.0	9.0	12.378540978054291	0.5539419684069431	0.5341765732593905	1.9118814583336667	7.384641864547363E-4	-1237.028079477564	-1194.963747683342	-1949.763758642631	-94.5784017208746
15000	4.496278510844891	-4742.553889891595	-362.001100149662	-4380.552789741932	35.74035593735047	568.8113345885338	831.165380380429	86.05643455789955	43.78405160250224	28.671567909479677	1.0	1.0	2.0	8.0	8.0	9.29241824759455	0.6578006725822108	0.5975878893707073	1.7446114380470823	5.611143619959116E-4	-1235.6847862723405	-1193.817950668903	-1951.0500528006883	-99.14080006477994
16000	5.5601601919662835	-4724.039320541661	-350.19934135865515	-4373.839979183006	30.328381296689457	731.070397668704	563.9023845801761	63.843621082599114	27.551780919458523	18.417298815837487	1.0	1.0	4.0	9.0	5.0	9.969710747154059	0.6578006725822108	0.5975878893707073	1.7446114380470823	7.999853642843085E-4	-1235.6182748683132	-1193.090304099091	-1945.1314002156016	-88.66030812850242
17000	6.037635331160621	-4731.603380727667	-355.4009587229832	-4376.202422004684	36.09208554104393	372.9701510572971	253.9812444945654	70.2978913749047	14.854429080432553	16.583176832679122	3.0	4.0	1.0	6.0	6.0	9.026937943434268	0.6905413423984899	0.6225241214201123	1.6869345361813983	7.854059078681769E-4	-1239.4999935898657	-1196.677285505036	-1940.025142909782	-96.32549980252766
18000	2.7643532951686502	-4727.194085259481	-350.0240267741619	-4377.170058485319	34.81385457067538	203.47676567868268	191.57797634961278	72.73593713024533	16.64879256748533	11.406155484454395	3.0	1.0	2.0	13.0	1.0	10.280926855367033	0.5435683791248862	0.5421719100613691	1.9142597108137451	7.802265644806153E-4	-1234.384024188976	-1195.1855101416038	-1947.600524154739	-92.21446737756123
19000	1.6222154915727738	-4728.106338314222	-355.07389134477216	-4373.03244696945	35.28690855694437	259.402494562794	162.52323969041024	31.499130661262022	26.331352710499466	15.248467092794693	2.0	1.0	1.0	13.0	3.0	7.611956481754954	0.6016371885786437	0.5634046339937911	1.8349581774275654	6.526221205896409E-4	-1233.0234217163265	-1196.0553068581419	-1943.9537183949813	-97.62197814327645
20000	3.4269112818211696	-4731.941217519874	-345.68732934216087	-4386.253888177713	32.491906133948966	159.74269114961663	189.69138066899336	44.28872604335265	22.249364580421133	5.755602837920897	1.0	1.0	3.0	14.0	1.0	7.156243742576897	0.6686617893689861	0.5136065693718965	1.8177316412591178	7.749131794053149E-4	-1239.229532179817	-1200.7857078717923	-1946.2386481261042	-88.99324847278606
21000	4.063309063276947	-4723.010439391262	-344.6090539616223	-4378.401385429639	31.916355803796005	374.41447863071625	34.070607661910536	40.56822789764594	22.377369719402665	2.9585462210264746	1.0	3.0	1.0	14.0	1.0	9.818451810741152	0.6767285931227021	0.601252083453822	1.7220193234234764	8.410841039658837E-4	-1236.9501148988736	-1197.978002168477	-1943.4732683622892	-87.91056655148053
22000	5.1087390565728406	-4720.368390863213	-350.555702477526	-4369.812688385687	32.19245280037302	649.9241589865587	84.85998849314917	127.95977664495271	28.006751430541076	5.120417523843419	1.0	3.0	1.0	13.0	2.0	11.439402562552097	0.6161629023428048	0.5981089808982508	1.7857281167589447	7.457076230909069E-4	-1234.1159568317394	-1195.3707372280358	-1940.3259943259116	-90.24109229666564
23000	8.558435318094578	-4722.399286021498	-349.39491463213693	-4373.004371389361	33.623063980771214	269.251700106709	82.51170490098635	128.5178528925473	36.84977593223818	10.028403966857722	1.0	1.0	1.0	14.0	3.0	9.188048602857148	0.6115394133414207	0.6521174603054045	1.7363431263531752	7.827370383774055E-4	-1232.7575736208407	-1194.5125337750276	-1945.7342639934932	-90.42845985339702
24000	9.956662830321639	-4716.368359097066	-345.21795790459095	-4371.150401192475	24.002642314982225	261.36397531657093	327.8760558779823	263.8541928820874	17.117055806252193	16.02516211136468	1.0	1.0	1.0	13.0	4.0	11.238911832414374	0.5465921081563206	0.5064910486021414	1.9469168432415382	0.001066854549605984	-1234.1097677070754	-1194.89607951958	-1942.1445539658196	-84.13982929520988
25000	9.106221404099589	-4713.010410574191	-344.1415505356425	-4368.8688600385485	29.415617134032438	275.64121847625483	249.77046756039948	160.19647743002668	21.31580279380085	10.553926571129521	1.0	1.0	3.0	10.0	5.0	8.154171917897665	0.5861852147608384	0.5909193010003304	1.8228954842388316	0.0010460298223673651	-1233.2061570797403	-1195.3890907858338	-1940.2736121729745	-84.71421854306227
26000	6.705926080958421	-4720.092733740468	-347.38744717683363	-4372.705286563634	30.080603141953528	579.3423533525037	252.14789366257807	57.21149869358227	25.359589356451504	18.851759711648572	1.0	1.0	1.0	12.0	5.0	10.648913880559391	0.632445057330836	0.5547508527105811	1.8128040899585833	8.297248235990952E-4	-1233.4678501934472	-1193.9212311334916	-1945.3162052366947	-87.3809990095882
27000	7.760668075090874	-4721.445872314479	-340.43126884986793	-4381.014603464611	21.729565583582573	876.3757484277272	297.0375969159383	42.26296535669146	12.541189789114162	16.025450776872407	1.0	1.0	1.0	9.0	8.0	8.848799162737285	0.5611336717707999	0.5547508527105811	1.8841154755186196	0.0012442486543658246	-1234.660736202929	-1195.7214353335892	-1950.6324319280934	-80.41831221540244
28000	8.48041661092393	-4717.508748351839	-341.3609574112488	-4376.14779094059	28.864713981934482	490.2985030677066	190.9965246284048	82.07491488095256	15.011041462594445	12.996199039172106	2.0	1.0	1.0	12.0	4.0	9.3748456965675	0.6264731679705099	0.5822339629633385	1.7912928690661518	9.070273937683548E-4	-1235.7626342101184	-1193.533382902972	-1946.8517738274993	-82.23777422813505
29000	8.328113225215214	-4720.444797150136	-345.8794161840668	-4374.565380966069	31.602982153301852	459.23212430333814	88.85693346993042	110.57902192292401	11.589789217233902	18.08865049004127	1.0	2.0	3.0	11.0	3.0	9.35149789453351	0.7018064703962245	0.506900660537624	1.7912928690661518	9.675127168020518E-4	-1240.1250213601122	-1193.3986980095392	-1941.0416615964182	-86.37987441614672
30000	9.582099832384984	-4709.142104724498	-334.96965170878764	-4374.17245301571	24.8179451019283	652.0211729209723	215.78361425484144	73.50908169781086	8.880253346701027	23.562309661601212	1.0	1.0	1.0	12.0	5.0	9.107319693815342	0.6977293813192762	0.506900660537624	1.7953699581431	0.001191808272172354	-1234.9065856111577	-1195.9006177249685	-1943.3652496795837	-74.24064551564456
31000	8.435457445880093	-4702.290570613086	-328.0329991020977	-4374.257571510988	22.03061527283013	402.52961190268104	42.9551419695283	42.748685362591985	7.3811007214528255	8.640519680299947	1.0	1.0	1.0	12.0	5.0	9.018781582870124	0.7235742269618786	0.506900660537624	1.7695251125004976	0.0011993402451404072	-1235.0961845678335	-1195.0170677397816	-1944.1443192033728	-71.62002881672154
32000	5.538566214235926	-4718.696470080514	-340.4004515361841	-4378.29601854433	20.58913741554723	130.76276725161244	129.5359437891676	16.785129604629166	20.623979280456457	6.612853595587363	1.0	3.0	2.0	10.0	4.0	9.282854849642106	0.6194264397873395	0.5693917300722485	1.8111818301404123	9.900226259869135E-4	-1234.8910201613278	-1196.4902372958156	-1946.914761087187	-84.78655607296992
33000	3.093092301603751	-4705.146485163497	-333.45891310183424	-4371.687572061663	24.616324501045263	641.057897219108	32.62557419052225	13.823468219894915	14.15820588556747	11.932576312440304	1.0	2.0	1.0	13.0	3.0	8.310674168528491	0.6843243770557683	0.550557205277209	1.765118417667023	0.0012364168312697982	-1239.127433887658	-1197.4902055234702	-1935.0699326505342	-77.05325319013471
34000	3.3338481896321386	-4706.36100470492	-335.8659689185339	-4370.495035786385	25.709724484294306	409.90500058225996	18.68042501787005	9.938185368745172	20.83340175388633	13.447710180220914	2.0	1.0	4.0	10.0	3.0	10.06589373998954	0.5976487395917349	0.49154566487530316	1.9108055955329621	0.0011316984394952364	-1236.776788277357	-1194.1009638884564	-1939.617283620572	-79.68666815676615
35000	2.5520115458319674	-4711.172528251955	-339.5617307162015	-4371.610797535754	27.515917910145173	149.10197718493484	64.05745227125722	36.29061512224264	6.287412970442801	9.82956494238346	2.0	2.0	6.0	2.0	8.0	10.06589373998954	0.48003399120493184	0.6091604132621062	1.9108055955329621	0.0010139418542235168	-1236.0506316004066	-1194.689750398574	-1940.8704155367732	-84.6621406337063
36000	6.842611651239514	-4705.905566671921	-335.83834179754047	-4370.067224874381	21.462717789703248	113.88618558853142	56.656681249786644	34.91927241684043	17.419883707596465	20.61143109761787	1.0	3.0	9.0	5.0	2.0	9.576293041337921	0.5405526225535702	0.62369312218823	1.8357542552581998	0.0013256332459973537	-1237.0188475943216	-1193.6802430464343	-1939.368134233625	-80.60659100852156
37000	4.686478402648323	-4707.121661376423	-335.07365638741857	-4372.048004989004	20.554629896554022	402.1138433728918	7.14011990887069	11.638459486935716	13.504982533103606	6.076292173361264	3.0	1.0	7.0	5.0	4.0	13.24467136930795	0.6273207107487979	0.5196450001465369	1.8530342891046652	0.0012092497967605043	-1238.7198136736583	-1194.7354389728691	-1938.5927523424762	-79.95690741517105
38000	4.460704238425446	-4705.191913219735	-331.58393724254404	-4373.607975977191	22.31156698950447	152.63887651683132	51.05829206816935	13.159290492213918	20.18508956348912	25.22983505322367	1.0	3.0	10.0	4.0	2.0	13.24467136930795	0.5983310916533193	0.5024066617655973	1.8992622465810833	0.0014740654657287079	-1236.224508387447	-1197.495675117399	-1939.8877924723445	-75.79457975118264
39000	7.902759363957108	-4703.168889000238	-330.64746985525306	-4372.521419144985	22.3921286344855	240.1369238701163	23.889732575991353	14.293872456794249	30.162501859597853	8.306849688935552	1.0	4.0	10.0	2.0	3.0	7.676212260321288	0.5986600685234374	0.529922383606001	1.8714175478705615	0.0013686471688672528	-1235.3901809879728	-1196.001396460771	-1941.129841696241	-75.0651524764076
40000	7.120421197037562	-4716.591710838732	-341.37095056564914	-4375.220760273083	22.81659402147347	255.26780599917478	84.05314370232767	26.328305195095968	21.240083587868885	44.53481412283471	3.0	1.0	9.0	5.0	2.0	9.628526112930286	0.6380858251562871	0.5492676200426722	1.8126465548010406	0.0013519667120963752	-1235.7082678292472	-1191.427496716142	-1948.0849957276937	-83.45911838227408
41000	2.5155438400066794	-4709.6948212779	-339.38720953463337	-4370.3076117432665	20.17258284879972	441.1423983428454	145.5009073765546	12.446235519697082	26.211149858589945	22.703101340594376	2.0	2.0	10.0	2.0	4.0	10.751443416989938	0.6178939409086862	0.5511181239746937	1.83098793511662	0.0013736545886865654	-1233.3158424710282	-1195.6793494118529	-1941.312419860386	-80.41965923231832
42000	6.977030715171362	-4706.287922149053	-334.88271204798156	-4371.405210101071	21.720372563202528	115.10474847368582	95.06807036637521	31.8042409504365	9.206789599429	12.003000981174521	1.0	1.0	7.0	6.0	5.0	12.10580230714481	0.6449068053546438	0.588492642343473	1.766600552301883	0.0012393487621073385	-1236.7446543500307	-1192.3428221539339	-1942.317733597107	-79.65103541385571
43000	7.113120324976716	-4707.332870150432	-330.45755961888085	-4376.875310531552	23.838373121370125	198.68143522928736	11.85654621673613	21.66241278664177	9.793288223918331	8.426885504700941	2.0	4.0	1.0	4.0	9.0	8.485934688295112	0.73922747341011	0.5961913797286915	1.664581146861198	0.0012864731373224676	-1242.0750173461042	-1197.2863094482188	-1937.5139837372287	-76.44779794927156
44000	5.0767433863064895	-4708.721066802203	-334.41628212354505	-4374.304784678658	20.279597263054672	116.88805309110677	28.73975407295204	18.663450182412575	17.611435386218016	21.71022212421075	1.0	6.0	7.0	1.0	5.0	9.026978929034238	0.7443955699011473	0.6860591091866375	1.5695453209122145	0.0012590592123822378	-1235.190455538667	-1195.453213551211	-1943.6611155887795	-80.21008907243564
45000	6.208604276654338	-4705.133064847886	-336.20006132627975	-4368.933003521606	23.801398552626114	220.87966928709523	43.74893338990962	16.594249248975	31.60426090882374	20.543368558870824	2.0	3.0	7.0	2.0	6.0	9.026978929034238	0.6466754243735569	0.5897633496824286	1.7635612259440139	0.0013525412571760995	-1234.0249240024357	-1196.4777978668	-1938.430281652371	-79.77335967522903
46000	5.313630124318727	-4702.306679532974	-329.30943336236805	-4372.997246170606	19.790525855419464	363.33853727969114	13.632775470860137	10.31705811663088	10.183711852946638	17.83644393061503	2.0	1.0	12.0	4.0	1.0	8.314774098759216	0.5322995289983493	0.4382224340749536	2.0294780369266965	0.0015056617848526327	-1236.2051041702498	-1196.437021285369	-1940.3551207149865	-74.34230774814992
47000	6.30972741870845	-4701.419525879454	-325.3748021168801	-4376.044723762574	19.836546433454675	205.4323278529693	11.919781624236789	9.58481989312646	17.966647368008083	3.1128859813394087	1.0	3.0	11.0	3.0	2.0	11.485537354087496	0.5578485429163332	0.5335962418624273	1.908555215221239	0.00143284014296123	-1236.0189809712083	-1195.686478722263	-1944.3392640691027	-71.4881915606914
48000	5.07047436086371	-4696.317654962139	-323.409779694551	-4372.907875267589	21.16707566310834	210.67896771794497	14.122260771512922	10.291284756171278	8.184437618089065	4.3031028758866	1.0	5.0	5.0	8.0	1.0	10.487308183436259	0.5578485429163332	0.5004450237116262	1.94170643337204	0.0015697449940975698	-1237.2247620381459	-1194.9234966035356	-1940.759616625907	-70.90234442986691
49000	4.639774056916968	-4699.026737513524	-326.40360576276197	-4372.623131750762	18.691750134610917	81.64075432104232	34.3226242766169	23.24195432096624	14.964533363840388	9.770446941608371	1.0	2.0	3.0	12.0	2.0	7.058173232335376	0.6336093127860504	0.5611194650679281	1.8052712221460208	0.0016617726291451136	-1236.1218679930032	-1196.4066428319077	-1940.0946209258507	-73.60446901289546
50000	2.686716931242702	-4696.240260666024	-327.79869978339525	-4368.441560882629	20.128884097795616	212.97711521261593	30.38263949520736	10.896755461025561	17.512005649915384	24.981850104657358	1.0	5.0	3.0	10.0	1.0	8.937835725069878	0.6871296542720791	0.4873987526455503	1.8254715930823695	0.0013715438443443688	-1235.5236908766424	-1196.2882723380158	-1936.6295976679708	-72.42735687344114
51000	2.153408000171109	-4707.422511546848	-333.7835391184411	-4373.638972428407	20.9231430834397	67.04525760098956	60.08092742383663	20.378066652946845	19.006972102560418	3.6826427591136657	1.0	2.0	1.0	13.0	3.0	8.229468650472947	0.6065560753114103	0.6580993663421743	1.7353445583464144	0.0013818807860706064	-1232.8998683838774	-1195.9948726257344	-1944.7442314187952	-80.58984389308166
52000	4.923573527713295	-4702.154816135109	-330.85509565090325	-4371.299720484206	23.396252508053546	320.9945143174853	70.60443829040028	14.145375037275732	11.701465566419634	18.30488568414042	1.0	1.0	1.0	16.0	1.0	8.075532591870461	0.5774594322488842	0.6177857700926406	1.8047547976584744	0.0013165546301970798	-1236.3200482593377	-1193.1000619804586	-1941.8796102444094	-74.78684926204757
53000	2.8924123049728827	-4706.785806262407	-329.2771322887959	-4377.508673973612	17.27639751998679	214.362207791088	219.98610255188237	13.333832942450277	6.204604996524136	2.952056365251739	1.0	2.0	4.0	10.0	3.0	8.850291625744736	0.5651329678025389	0.5459796298174436	1.8888874023800166	0.001860342973720747	-1238.5168966501851	-1194.2578834678793	-1944.733893855547	-74.26571720911329
54000	5.859865306561065	-4698.333002765052	-328.26908023149014	-4370.063922533562	18.357986390148106	93.17848863706467	167.6784642235057	23.624756942395063	12.338164564823566	12.136377941191796	1.0	1.0	3.0	10.0	5.0	8.991217922559846	0.5774621641281602	0.5214191816574965	1.9011186542143423	0.001797591978702833	-1235.249134847857	-1194.4592627952388	-1940.3555248904659	-72.50191338344106
