# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153530994]
state	age(SWINE_ANHUI_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-7773.782400011222	-368.47159907646414	-7405.310800934758	317.90110510998	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1833.6094937055889	-1703.5374970316848	-3868.1638101974836	-112.30295660369012
1000	0.6521690275327732	-5390.891482015438	-377.60062238417544	-5013.290859631263	52.02669775556101	223.43811430387225	79.47520824478818	119.33444539135365	141.11561420118704	128.9492469299584	10.0	5.0	1.0	2.0	2.0	1.3502364004191594	0.45608179806998017	0.6342286097823397	1.9096895921476802	5.124472145048992E-4	-1352.9862580573692	-1293.0974096844973	-2367.207191889396	-118.16308060006439
2000	0.33402554708382803	-4830.515302385615	-373.3976230135778	-4457.117679372037	64.09270143093822	183.4292550065383	104.65320337545324	55.15011393857928	136.4444752881044	68.34268086934509	9.0	1.0	3.0	2.0	5.0	1.9175566074086872	0.4880940238638208	0.4757666502878551	2.0361393258483242	3.836942304106742E-4	-1250.8158152320605	-1201.374799661305	-2004.9270644786718	-114.41531952299933
3000	2.092732498971268	-4812.105942857965	-371.12705204113144	-4440.978890816833	69.76357155205301	322.5593790428556	89.09112356273597	83.25767686544188	171.38690493712593	31.544351628139623	5.0	4.0	3.0	3.0	5.0	2.198972846061629	0.5580133611430335	0.5793225299148612	1.8626641089421054	3.2766165604996883E-4	-1242.7896539112576	-1204.2909317975434	-1993.8983051080322	-111.01916567469696
4000	2.5744786074576465	-4764.814132352349	-373.353719935835	-4391.4604124165135	73.70059347278612	1126.2256571034482	96.01938205283734	58.350575480751324	118.34069687845377	47.254193005865666	2.0	2.0	2.0	8.0	6.0	4.205289285408378	0.5983605157971392	0.5793225299148612	1.8223169542879996	3.3301940616877314E-4	-1238.9666490910097	-1196.3986038118858	-1956.0951595136178	-111.08066811002641
5000	1.8594454158087295	-4742.108891573194	-367.46056003832166	-4374.648331534872	49.91498645987586	1419.8615526703386	166.65158816274965	48.585473388878654	75.56403712084789	30.884944942501495	2.0	1.0	4.0	7.0	6.0	10.99849590549446	0.567728801480489	0.6550437842544992	1.777227414265012	4.83138663776E-4	-1233.2751328398865	-1195.8901004611255	-1945.4830982338601	-104.59053569042588
6000	2.3959676211845786	-4730.698557913741	-354.599882738934	-4376.098675174807	42.15066697282965	1363.9241409721642	94.49446463986418	34.31564726611345	43.952550562682966	10.405241585396446	1.0	2.0	8.0	7.0	2.0	8.992769561681413	0.567728801480489	0.6945976602378646	1.7376735382816464	6.430738450047605E-4	-1236.410092818386	-1198.3419604032056	-1941.3466219532158	-93.89145640920364
7000	0.8518716110581355	-4737.5091587227125	-360.75303534580166	-4376.756123376911	38.675033881290474	4158.182523119777	98.46841947979324	52.94184139242721	24.083504335325813	19.64775265738682	1.0	3.0	10.0	4.0	2.0	9.188942369089341	0.6274307563527584	0.6532046165307549	1.719364627116487	6.29192514790291E-4	-1233.623242044789	-1195.8628956016312	-1947.2699857304908	-98.03834506036391
8000	1.3906853614180104	-4724.608392005971	-351.13035789462833	-4373.478034111343	35.320558434553796	1887.1551329925328	124.14748344120609	29.61554550431764	29.356929254648815	27.110619077220097	1.0	3.0	9.0	6.0	1.0	9.052627508198105	0.4889194231908163	0.5660974394128725	1.9449831373963116	7.521738776089374E-4	-1237.5252535190853	-1195.9887639573353	-1939.9640166349222	-89.77475659857969
9000	0.09885096798231507	-4727.09394138538	-353.12675978445935	-4373.967181600921	36.935057953445614	1721.4165837777525	61.249117253199856	20.394793028631806	24.170743202198594	26.273698545405953	2.0	3.0	10.0	2.0	3.0	9.236253269389714	0.4889194231908163	0.5660974394128725	1.9449831373963116	7.349029349479549E-4	-1235.7073300795673	-1194.603564166307	-1943.6562873550474	-92.78722783655799
10000	0.3326347273410133	-4730.763312799558	-354.87075389710486	-4375.892558902453	37.021096048265036	2664.5496721323098	135.8709766330099	23.34586606885988	18.744706941519198	40.06999029082996	1.0	3.0	8.0	4.0	4.0	8.915184364076149	0.6495498236552715	0.5660974394128725	1.7843527369318564	7.78942258437845E-4	-1239.4145294238456	-1194.7260384623464	-1941.751991016261	-92.49247208527606
11000	0.2523659109911873	-4732.669681595089	-354.1892307837064	-4378.480450811383	43.732557297419746	520.4420559473641	214.4121918626991	32.5298926450094	38.24996327956829	38.19367842463857	1.0	2.0	1.0	7.0	9.0	12.498050001022413	0.6368055680466975	0.6208596620400915	1.7423347699132115	6.532359704451659E-4	-1238.7748794411284	-1199.6432415636327	-1940.0623298066225	-93.66352293550763
12000	0.1734160132054241	-4725.311238369787	-348.61414583575845	-4376.697092534028	35.227502802617096	724.4415890547681	171.1608999102271	18.948459841591895	19.82653853735635	28.89446387194849	1.0	1.0	11.0	3.0	4.0	10.043220673975583	0.5126329634594075	0.5816752637445635	1.9056917727960296	8.192134026845778E-4	-1235.6061175173038	-1197.8788720630014	-1943.212102953723	-88.9559134444678
13000	4.30938668818524	-4732.756460041343	-358.6418040323814	-4374.114656008962	43.17194979595656	649.0045448764273	82.45392831451288	37.97270553770684	39.06798635120377	12.236592605143949	3.0	1.0	5.0	8.0	3.0	8.16268710747223	0.5346529378836045	0.6033137800638144	1.8620332820525816	5.26714113397174E-4	-1236.0728468265563	-1194.3202280648866	-1943.7215811175195	-99.68879534637458
14000	4.599413809418805	-4732.389093558554	-360.24520122889317	-4372.143892329661	47.12476927852101	111.92557477574618	29.454011889362466	29.098386202929856	46.80532150397418	36.883645470464664	2.0	1.0	4.0	11.0	2.0	6.739956948210023	0.5346529378836045	0.6131848237697133	1.8521622383466827	5.442047682034923E-4	-1232.8758165895756	-1194.454478351509	-1944.813597388577	-104.3958352016015
15000	5.140281077997704	-4731.882452484488	-350.73882872600876	-4381.1436237584785	36.449208591600076	190.4433366296987	32.521465215379564	74.71489279472215	38.40997822078107	34.842181561493	2.0	2.0	1.0	12.0	3.0	8.9681908480331	0.7012984956976737	0.6518281854373118	1.646873318865015	7.833470597512631E-4	-1237.8409806803106	-1199.4809217790098	-1943.8217212991576	-92.45465935645852
16000	5.314091338950986	-4727.466640572578	-352.58402415887394	-4374.882616413704	41.74883106780701	263.78795029483956	12.422470053782204	37.35105499419228	26.18226096672223	16.214168676572392	3.0	3.0	4.0	8.0	2.0	8.646224773411761	0.6404147488903036	0.5664703159817738	1.7931149351279232	6.332566047847978E-4	-1237.555197890971	-1195.145543379161	-1942.1818751435724	-95.23906624840957
17000	3.9540691032177886	-4745.314819240159	-360.6046221590937	-4384.7101970810645	45.00285162192474	255.40163440464244	20.400989679329914	21.507559111843022	59.04028516954816	10.983734868220916	6.0	3.0	3.0	5.0	3.0	7.92245472412534	0.6664996080949077	0.5403854567771695	1.7931149351279232	4.8319379495357886E-4	-1235.3904338553323	-1192.7491043959062	-1956.570658829826	-102.96327754596402
18000	2.172518538525784	-4736.779050364121	-351.2815702785557	-4385.497480085565	48.15918920663359	209.46276921332517	5.55795244407303	12.600963384215216	31.70103339218073	22.84409650829013	4.0	4.0	1.0	8.0	3.0	11.403840202330576	0.6390798040316608	0.49712141708310725	1.8637987788852324	5.396842951646269E-4	-1240.9098662919	-1196.2369895376587	-1948.3506242560063	-94.66456375583886
19000	0.3294254413894877	-4718.13492664989	-346.0890806815652	-4372.045845968325	36.37482464532814	524.5086520457033	5.80455718239793	14.178338260927772	35.93107525761078	4.615559818738034	3.0	2.0	4.0	8.0	3.0	10.064350188337357	0.6764265502568674	0.5519819265914596	1.7715915231516735	6.222140194064048E-4	-1235.2835530330815	-1192.3767233278918	-1944.3855696073515	-87.88831910109806
20000	0.11875570371933186	-4717.991484323182	-342.5801761269343	-4375.411308196248	34.87127835735362	358.0189132955593	7.315058365754019	14.938467926364227	26.53628924758974	14.400112732128022	3.0	4.0	1.0	11.0	1.0	10.651448070584161	0.6783782676859732	0.5648275273918624	1.756794204922165	6.955735964201343E-4	-1235.3377163653345	-1197.2069048508943	-1942.8666869800193	-85.8407962825806
21000	0.7882484408059043	-4715.807635291658	-338.892052320545	-4376.915582971113	28.69630550227418	161.7562048819639	9.254564635647359	12.314211824635823	13.509754961255188	14.735242580214656	4.0	2.0	1.0	11.0	2.0	7.810860093365366	0.579975381405574	0.6398200202876773	1.7802045983067492	0.001010405771488515	-1233.2018940929224	-1196.6920642249409	-1947.0216246532493	-85.49094407244215
