# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153532829]
state	age(GOOSE_SHANTOU_2216_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7563.553432533331	-360.5910769350238	-7202.962355598307	153.87229553695278	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1743.1574672360243	-1655.8672627082813	-3803.9376256540013	-104.4224344622498
1000	0.7069106874228019	-5149.339429784903	-367.2391583164556	-4782.100271468447	49.287988841324626	271.4040823164907	144.38320508311537	52.459921785169854	51.803886216396755	65.13407719937915	1.0	3.0	6.0	3.0	7.0	1.2519458518259334	0.5016219863430244	0.7148836795362297	1.7834943341207459	5.918538086481346E-4	-1309.7734067146177	-1273.890047274499	-2198.4368174793303	-109.52860778697021
2000	1.3244620265310414	-4792.2519526840215	-363.164509396094	-4429.087443287927	53.37872002221354	335.33722722687145	207.3804588399748	51.905724736682984	45.448362388207585	27.935789861836934	1.0	3.0	9.0	1.0	6.0	2.82357374579049	0.5101131299960732	0.5021428016478617	1.987744068356065	4.5073250038151814E-4	-1253.872068552221	-1200.719598842606	-1974.4957758931007	-104.7781811586904
3000	1.097966346457939	-4740.878987747292	-357.79582482290294	-4383.0831629243885	47.67802218294979	403.1104686793029	146.45678590234647	28.42107482496355	42.59467668254901	45.62735709663681	1.0	3.0	6.0	1.0	9.0	11.740701192361	0.5573105794933075	0.49855834940844157	1.9441310710982507	5.783071109833661E-4	-1245.1996544872964	-1195.8926393921404	-1941.990869044952	-97.86296856991211
4000	1.1309978868767814	-4743.0659819545635	-360.6935623177284	-4382.372419636835	60.155408346169125	522.6853897943514	65.58210898842769	16.864160492791758	26.878331614062713	43.60022329959979	3.0	1.0	1.0	1.0	14.0	11.615489035012027	0.7930539661104355	0.5082992494781428	1.6986467844114213	4.476172068259642E-4	-1241.7294295995207	-1196.749405845301	-1943.8935841920124	-101.56637619600829
5000	2.1590287369829557	-4734.37177736308	-353.5566464895451	-4380.815130873534	38.965413328730705	770.1000645230299	154.873625499446	14.288680494110679	35.08815615979059	34.3971939983955	1.0	1.0	1.0	6.0	11.0	12.868285446431894	0.5129720925632993	0.6717698412407717	1.8152580661959286	7.508292319187748E-4	-1237.7114476839758	-1199.4807692350976	-1943.6229139544607	-92.46105214518049
6000	1.738710224293606	-4732.989049161739	-355.08350498326786	-4377.905544178471	43.740363933246606	913.8615821493629	143.2696380664367	18.009699455292004	41.50433650776636	24.679023417550425	1.0	1.0	3.0	3.0	12.0	7.386782496609763	0.5129720925632993	0.6717698412407717	1.8152580661959286	6.307833854329173E-4	-1237.4411064046012	-1197.9885961398465	-1942.4758416340242	-94.4268617769701
7000	1.4336862105951325	-4735.318561353633	-358.2120412312903	-4377.106520122343	36.556321442725206	1429.1379441783984	368.462398116932	39.64600124862024	46.00819598831304	35.75794076382394	1.0	1.0	8.0	2.0	8.0	8.112745843006076	0.5193504822034795	0.6717698412407717	1.8088796765557484	7.425239633667703E-4	-1234.2888294692507	-1196.8143837349642	-1946.003306918128	-95.609190758856
8000	0.17260677262097057	-4729.330325819303	-352.9331863400328	-4376.39713947927	33.49729063070233	748.668427489959	432.41984698622116	26.97968514819352	52.25395652909067	30.058895734124665	1.0	3.0	9.0	2.0	5.0	9.019630515817058	0.6190847765234839	0.601624994131917	1.7792902293445987	9.036507063591406E-4	-1235.9731540496618	-1195.6467816594038	-1944.7772037702043	-90.76607162270584
9000	1.091303609698844	-4717.4934175181415	-338.5878755395212	-4378.90554197862	26.264253749501947	633.8973631098127	438.15714796334305	14.522351480734875	19.9120083696842	30.370221846540876	1.0	1.0	11.0	5.0	2.0	7.905455058822146	0.6243732514874974	0.601624994131917	1.7740017543805853	8.686723757826814E-4	-1237.480708754183	-1194.256844007096	-1947.167989217341	-77.98774405836718
10000	0.6539302146351356	-4712.345611273537	-342.4710335335506	-4369.874577739986	27.241102094786427	263.5180356582244	255.9244878327685	24.25730949263636	24.412047763101395	23.918707567589557	1.0	1.0	8.0	7.0	3.0	8.294739863218867	0.6243732514874974	0.5268850249962653	1.848741723516237	8.982560550483065E-4	-1235.2542422131014	-1195.0669965655263	-1939.5533389613583	-83.96784466815897
11000	0.6805719650134434	-4709.566682465679	-340.10147027083417	-4369.465212194845	25.5042055903317	207.34883042792814	65.69664928438537	29.782715996727685	26.689910883548848	15.74103619485155	1.0	2.0	2.0	7.0	8.0	8.331233549451753	0.5673927209702899	0.5268850249962653	1.9057222540334446	9.581396804601162E-4	-1234.9827942187171	-1195.2898902015827	-1939.1925277745452	-83.93477534102826
12000	1.0813026087675608	-4713.018478152534	-339.1213245680974	-4373.897153584437	29.241125719913857	130.67175574129945	36.212878284657805	11.309745264117035	16.562104636852094	22.16612312023942	2.0	3.0	2.0	3.0	10.0	10.752863955215764	0.5643497788372659	0.5351680645207544	1.9004821566419796	9.328616797217081E-4	-1238.4079308952876	-1199.1392888225569	-1936.3499338665924	-84.52785399383032
13000	0.911098137306803	-4713.374162232654	-338.84202627381137	-4374.532135958843	27.703570967468803	289.64283974409625	21.390833159205947	20.865798279880153	41.288649816057465	17.595197734379234	2.0	3.0	5.0	1.0	9.0	10.694496803490633	0.5285135938818114	0.6496375793484728	1.8218488267697157	0.0010228698684101832	-1234.2681659640634	-1197.8159420261659	-1942.4480279686136	-81.60059885224382
