# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:10 BST 2015 [seed=1430153528940]
state	age(PEREGRINEFALCON_HK_D0028_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-7869.00100125095	-362.78658799789264	-7506.2144132530575	150.65189246596424	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1768.8228940415872	-1680.7958611589422	-4056.5956580525285	-106.61794552511861
1000	0.2089105001497713	-5051.396542578249	-377.33349779172147	-4674.063044786528	66.6312596182395	280.01781905916437	206.5098848980217	186.98338912182874	26.953757513182588	33.55554359413444	2.0	2.0	7.0	2.0	7.0	3.4021998020368223	0.5086767153342586	0.5686884383355546	1.9226348463301866	3.6483526854363057E-4	-1287.8237831571312	-1239.527242499535	-2146.7120191298623	-117.69335478694258
2000	0.9136297453343705	-4817.474772088767	-382.26628456897936	-4435.208487519788	75.93778408577838	501.75909360565015	331.19718691226217	118.16735837844473	34.53530521565643	15.971156647442038	5.0	3.0	6.0	1.0	5.0	7.1817753997041684	0.65982633457537	0.46079158041356577	1.879382085011064	2.7026714368277036E-4	-1246.1784344884309	-1192.020917429464	-1997.009135601893	-121.71161339878964
3000	0.45770757315631116	-4810.527509237597	-384.2615885602054	-4426.2659206773915	82.72113267613702	482.34716387947833	559.1848256980286	159.59796279507768	9.619646277590402	12.388937352235478	7.0	2.0	7.0	1.0	3.0	7.7443680238640695	0.5327181441376465	0.6146812754256624	1.852600580436691	2.944259101904657E-4	-1240.9170632351959	-1198.055418108968	-1987.2934393332278	-123.14297544560037
4000	1.0180724056896646	-4770.969878916514	-383.0206531528015	-4387.949225763713	77.05638225141294	527.5191872171782	514.6771744021099	141.06417474852475	14.191196841894614	26.02475965773255	9.0	1.0	7.0	1.0	2.0	8.895284419859076	0.6208809733142417	0.5017800841712736	1.8773389425144844	2.709475807626005E-4	-1236.6666884695394	-1195.5429137342364	-1955.7396235599372	-121.01066935907855
5000	1.5728360279852	-4756.088048963235	-382.9146115876939	-4373.173437375542	96.61990718669239	655.494652958993	621.5076373401379	97.36650338058705	36.025031826448924	16.46479465622896	5.0	4.0	8.0	2.0	1.0	7.9364058326581315	0.6401094095605769	0.5199836799011934	1.8399069105382293	2.2643265152382032E-4	-1237.2101179194703	-1192.1852280949952	-1943.7780913610761	-121.08717292469471
6000	2.960209808507792	-4763.530502887608	-384.03631871347784	-4379.49418417413	90.74607635120496	631.0065218042625	617.7131575478846	76.16752686675599	53.948762556748534	12.442873311057747	6.0	2.0	4.0	5.0	3.0	8.600900914211302	0.6799380607101186	0.4457374718371222	1.8743244674527588	2.549242794282794E-4	-1232.841432463204	-1195.325697445249	-1951.3270542656771	-121.94314387695525
7000	1.7879569507516782	-4764.182136323282	-379.7433510261692	-4384.438785297113	62.84840329436507	519.599330343565	343.8469344509989	77.27447031534142	91.18047197584444	5.181315897017244	4.0	3.0	9.0	1.0	3.0	10.177543739964742	0.5800754855199326	0.5456000470273082	1.8743244674527588	3.069705508391793E-4	-1238.23800737665	-1194.290210087208	-1951.9105678332553	-117.83487116247282
8000	1.4124038473190113	-4748.921689805348	-370.67580287377757	-4378.245886931571	59.13834629061779	742.1631831856984	219.53046641423396	87.47663498810444	42.378992487608265	16.116604125543464	2.0	4.0	12.0	1.0	1.0	9.91640821208488	0.49075819557887207	0.72348055410108	1.7857612503200473	3.821343670493428E-4	-1235.887236221127	-1198.1190490344713	-1944.239601675972	-109.73542164865381
9000	2.332465231613085	-4742.3299887906605	-368.1160925554043	-4374.2138962352565	71.33115869119328	470.05774345038276	84.9655510383633	73.18596764136988	41.775105155168724	34.60649047216427	3.0	3.0	11.0	1.0	2.0	8.965418143753539	0.6333292622787617	0.5485032416235684	1.8181674960976693	3.7144619558161806E-4	-1236.9767968198169	-1194.4337923392156	-1942.8033070762244	-108.4496237685192
10000	2.413201928650669	-4746.722476864182	-368.74230034242936	-4377.980176521753	65.0007155892256	326.5509353170955	77.3408911173946	56.84812604687681	190.85929451202412	53.57685370608188	5.0	1.0	10.0	2.0	2.0	7.632139058390914	0.5600090409150673	0.45446824552755993	1.985522713557372	4.2783899021003896E-4	-1235.1790299501477	-1197.103808468764	-1945.6973381028408	-106.62416540343375
11000	3.647628392948853	-4739.680241327057	-367.04182213309207	-4372.638419193965	54.910336015961775	569.997870122999	353.36606216907717	122.18137585711798	61.22068642983518	22.24159413560451	1.0	1.0	12.0	3.0	3.0	8.761703572759865	0.6185990543395095	0.673596462819894	1.7078044828405958	4.7059936758296714E-4	-1234.4084822943523	-1194.5263813161246	-1943.7035555834887	-105.30408791557056
12000	4.709446365398804	-4741.25122134913	-362.2013503174038	-4379.049871031726	40.01790584761315	432.51800460384266	430.831113709949	97.77689668916844	60.810424439434435	13.174344716757497	1.0	1.0	10.0	6.0	2.0	10.358584271299868	0.6628234208926874	0.45766020962516557	1.8795163694821464	5.811078033121117E-4	-1236.2617813467343	-1195.162304149677	-1947.6257855353151	-100.64798594961995
