# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532379]
state	age(TREESPARROW_HENAN_2_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-7742.905229091004	-373.4083695069075	-7369.4968595840965	274.2237163385015	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1789.845153235386	-1686.8931587568313	-3892.758547591879	-117.2397270341335
1000	1.2723647854988982	-5483.362181418237	-390.88485365748994	-5092.477327760747	108.52664319150828	334.1634394221228	376.02024311125393	213.24422468203846	81.42103251703391	151.3010414232445	8.0	4.0	2.0	5.0	1.0	1.4739835536382309	0.6157144189386421	0.5836716071182562	1.800613973943102	2.603691908088974E-4	-1366.658489373969	-1279.7487942239106	-2446.070044162868	-128.99095816421294
2000	2.8536415084250843	-4811.985325673899	-382.8313917112394	-4429.15393396266	121.95550584486689	501.0297175892143	129.2597804893676	103.52344808890041	128.83767283249355	52.26945028463908	6.0	4.0	1.0	8.0	1.0	3.8739596859214114	0.6518741525431945	0.5842412361152962	1.7638846113415096	2.3791273594462684E-4	-1250.6525199463429	-1194.7593396184266	-1983.7420743978898	-121.71598954859526
3000	1.6728260377516153	-4773.966233497449	-384.0196495615078	-4389.946583935942	102.48327096865849	654.7723412933725	500.73050780550835	82.16317500507895	105.87121723069023	9.733821148214464	2.0	1.0	4.0	12.0	1.0	10.768186775902455	0.6918254100898076	0.47129691304022436	1.8368776768699682	2.0736253454402092E-4	-1248.2239082065466	-1196.9452495781404	-1944.7774261512552	-120.8196553031917
4000	0.5911967930578517	-4771.078421140693	-381.0620182401701	-4390.016402900523	93.68404131363586	1873.746700757326	245.06862230529154	128.54849707197477	61.889131982971385	3.8599922864897307	3.0	4.0	3.0	9.0	1.0	9.189978516293708	0.5286056109330763	0.5060057830184922	1.9653886060484316	2.4591287179714385E-4	-1246.8906984403318	-1195.6208512012377	-1947.504853258953	-117.83166890356988
5000	0.3229606302702235	-4774.494443091805	-385.54068160600855	-4388.953761485796	90.09091401693833	2709.983360761736	172.33306780319484	145.43746118353502	87.93800280799645	4.587989814707882	1.0	8.0	3.0	7.0	1.0	9.412719886906643	0.579477753326247	0.5895786103451195	1.8309436363286338	2.7924376238022084E-4	-1247.1238545092206	-1195.6495990324083	-1946.1803079441675	-121.06056540285353
6000	1.594879632706679	-4782.767192853832	-390.40709395087765	-4392.360098902955	127.35970965087871	1933.0666582920785	294.84862560275354	253.43528074888474	111.43681051561887	2.8829857610215885	2.0	7.0	6.0	4.0	1.0	8.309058212489019	0.6772310024922493	0.5644907382501374	1.7582782592576136	1.7094904762647638E-4	-1245.098880598051	-1191.678239517832	-1955.5829787870716	-125.48483527639053
7000	1.0701916509271077	-4770.340405320174	-380.6287769847327	-4389.711628335441	74.52296736086191	396.1127380826885	198.54259763687372	174.80234083384497	117.88949876980344	7.544275500748602	2.0	8.0	1.0	7.0	2.0	9.085644799715913	0.5428256934404188	0.5150373921557136	1.9421369144038683	3.1783201806989355E-4	-1246.855846501653	-1193.7383526573842	-1949.1174291764037	-118.85570164810265
8000	1.5457528843271149	-4759.199332748311	-369.28462557276714	-4389.914707175543	62.12208082847807	363.3887872550537	122.9926687491859	85.9337203797861	117.02103895416748	6.687456026134534	2.0	6.0	5.0	5.0	2.0	5.829912385606812	0.5676044928552706	0.5150373921557136	1.9173581149890166	3.9315036183608685E-4	-1239.4732853275427	-1197.252141660468	-1953.1892801875333	-108.9880561321807
9000	1.2370209141371284	-4759.053956501217	-378.30922866511764	-4380.744727836099	90.62559953418345	653.3528366901122	114.03199758795057	54.536046139826865	30.907724365599872	16.07462579717221	6.0	2.0	10.0	1.0	1.0	7.991401375537855	0.5589840193608397	0.5541298806922157	1.8868860999469454	2.4227126662727222E-4	-1241.6515130402413	-1193.3083010500231	-1945.7849137458343	-119.1021620172743
