# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153531102]
state	age(HONGKONG_538_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	8.0	-7753.430884031033	-368.61871612639857	-7384.812167904634	204.68853201853054	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1804.6837741635222	-1715.7579638083198	-3864.370429932793	-112.45007365362456
1000	7.972956134925937	-5075.524078927023	-383.84307495020914	-4691.681003976813	88.47796385359229	258.65770166674594	52.538368024009976	139.88458591466983	240.78177382303986	157.22414513917383	4.0	2.0	5.0	5.0	4.0	1.3989635045029294	0.5884205064166216	0.5421683538268383	1.8694111397565403	3.649559389155834E-4	-1288.0670495029972	-1229.4643098889462	-2174.1496445848693	-122.51166625704091
2000	8.50388109533125	-4764.239836426436	-372.75343404809524	-4391.486402378341	76.79269962037999	295.088272559179	75.49558005930332	106.09967400534829	125.64889420477834	92.13933270711759	4.0	5.0	4.0	1.0	6.0	5.617300014751903	0.6020223861824583	0.5091417302243462	1.8888358835931958	3.871150875293296E-4	-1235.8344158867958	-1195.7730838954506	-1959.878902596095	-111.99380206398683
3000	10.811931165286884	-4760.803891632377	-373.74954173666777	-4387.054349895709	54.7407763120792	491.88521286789694	106.70533763331615	80.86253240080273	89.05076088961177	185.02974825190594	1.0	7.0	4.0	6.0	2.0	9.632419390734057	0.6187369617869592	0.5153487452188282	1.8659142929942127	4.660709388606375E-4	-1240.5371469346505	-1195.3262777418445	-1951.1909252192133	-111.12357408111356
4000	11.609666380107967	-4743.911103741232	-369.89114988993344	-4374.019953851299	55.650508310445325	286.3435018750084	101.28001723023525	27.778663334927693	44.2913660616364	178.71181651010502	5.0	5.0	4.0	5.0	1.0	9.501382839898119	0.6452346384948503	0.4382946971291968	1.916470664375953	4.847095658657824E-4	-1236.1690817029842	-1198.168595811535	-1939.6822763367798	-108.07654334114011
5000	11.07820282633051	-4740.175985426884	-364.3260429207586	-4375.849942506125	52.6631637702868	198.96358891279638	88.91788011696347	41.10271126432644	32.309730321050296	75.44429411047803	2.0	3.0	7.0	6.0	2.0	7.906692306526028	0.6544686843535169	0.5768570327384493	1.768674282908034	5.196374491943972E-4	-1237.87835038222	-1196.9700300379918	-1941.0015620859133	-105.70415841893585
6000	10.41403763476881	-4732.828349599193	-361.90707628558414	-4370.921273313608	47.905875667915474	234.0019273354821	46.91306461206433	48.396212187870645	81.10544333588744	34.32434199522214	2.0	6.0	6.0	4.0	2.0	9.844347019458423	0.6041383383411038	0.5453961205806315	1.8504655410782649	4.8179831540352315E-4	-1236.6157129201547	-1196.7242249201315	-1937.5813354733214	-102.99637688565353
7000	10.018835790182129	-4736.9234267910715	-354.7563210117104	-4382.167105779361	37.88063327703812	195.78487010943869	32.15067181077824	30.421658694696347	79.31371839207763	39.35581836111555	4.0	1.0	1.0	3.0	11.0	9.440244046268418	0.7683098571177197	0.5151555978239848	1.7165345450582956	7.358769343696455E-4	-1239.265846796583	-1194.970636523436	-1947.9306224593415	-96.2260110234825
8000	10.744995192536237	-4728.99361300659	-352.23419127588454	-4376.759421730705	46.187799959261234	240.5630203762945	31.9768555742775	34.77795221815652	65.23402053313728	42.39572879013187	3.0	9.0	1.0	2.0	5.0	11.17199265849184	0.648884337581139	0.5758841194546158	1.7752315429642451	6.925753216944266E-4	-1238.353807381792	-1196.0693476373226	-1942.3362667115912	-93.65817664731846
9000	7.944005897392297	-4731.111801474734	-360.0670314133016	-4371.044770061433	46.03814393737683	206.1168856667128	50.69993046040304	51.28881821355283	44.03992094195341	32.64678880396372	4.0	9.0	1.0	1.0	5.0	8.342830567541348	0.6119259818697854	0.6035823790725848	1.7844916390576295	5.997991112473167E-4	-1235.2108873421369	-1194.3063194977672	-1941.5275632215285	-102.52418210840597
10000	9.95982193571572	-4736.505987629542	-364.0806268610136	-4372.425360768528	52.361173584079474	453.2702316582701	77.69568876469967	54.097374710092005	60.33538063437153	50.79479444463602	2.0	6.0	5.0	2.0	5.0	8.585538401185918	0.6069515002086445	0.6085568607337257	1.7844916390576295	5.296536113148573E-4	-1234.2342415551032	-1195.0388624655989	-1943.1522567478262	-104.1706885315942
11000	11.022708831809668	-4727.516074593822	-358.57092806236585	-4368.945146531456	41.882309829397244	543.10818925581	48.71360687593958	46.70422272689498	42.99717940413772	57.86410022877952	1.0	8.0	6.0	4.0	1.0	9.530930718954123	0.6198837915647744	0.5267589388024959	1.8533572696327296	5.951240621392136E-4	-1237.8614566912986	-1190.6572220067546	-1940.4264678334032	-98.65749436426383
12000	11.03149856212045	-4723.911457475055	-351.4661917837783	-4372.445265691276	40.16867694119705	1186.5546509232847	73.29878588852179	41.84996737616142	27.955868553466864	35.37793066933506	1.0	4.0	3.0	9.0	3.0	10.835616830028108	0.6198837915647744	0.5267589388024959	1.8533572696327296	6.772480473382714E-4	-1238.1122112826722	-1195.4802817708362	-1938.8527726377677	-90.74174437056179
13000	11.03149856212045	-4728.450163339494	-353.8863122866793	-4374.563851052814	39.862816108170215	807.3971098358406	84.01722250562929	43.879354702050485	36.15551053148488	18.474424120589795	2.0	6.0	1.0	6.0	5.0	8.027468758947137	0.5587761947425479	0.5267589388024959	1.9144648664549562	7.255600401500435E-4	-1237.4519119530355	-1194.9894222293137	-1942.1225168704648	-94.39573519496777
14000	12.323740035375245	-4726.910898177495	-351.2262575835647	-4375.68464059393	36.031221725941975	460.83454198236865	97.52907264186734	45.900188509792464	12.09488490255457	12.33256423791456	2.0	2.0	10.0	4.0	2.0	11.328271104460567	0.602954251340792	0.5461776427997508	1.8508681058594574	6.501654410132014E-4	-1236.6734658002642	-1194.3673752093805	-1944.6437995842855	-93.40954445085085
15000	11.717241855654922	-4721.619268725037	-348.2057465063201	-4373.413522218717	39.07818032110734	457.38332071566225	122.07488229975704	16.903566987744338	33.41558932243339	14.196955596094071	2.0	3.0	6.0	6.0	3.0	9.069996654819349	0.7050200571237836	0.5461776427997508	1.7488023000764659	6.145712403058936E-4	-1233.9717420150355	-1196.1398419267537	-1943.3019382769278	-89.54297576855203
16000	11.315173014934235	-4723.695989656196	-350.19955621571137	-4373.496433440484	38.82524247643471	266.5892645594947	198.43647930234667	8.710244877804588	34.964334301598626	16.347709202010716	3.0	2.0	10.0	2.0	3.0	11.116357898813769	0.5684008220859998	0.46713739603196025	1.96446178188204	6.883580772852658E-4	-1235.7398186387675	-1197.92649046417	-1939.8301243375465	-90.08195034580662
17000	10.797738580830341	-4727.033809515654	-354.2204087739856	-4372.813400741668	36.156508391722795	240.33847795653517	248.59095619219647	19.556613859977695	18.90208655626684	61.101549043736135	4.0	2.0	8.0	5.0	1.0	8.824381977206155	0.5463459214203787	0.46842324786894635	1.9852308307106752	8.272616491645948E-4	-1234.9280123874976	-1196.432287377568	-1941.4531009766026	-94.07982200711112
18000	8.793950924024513	-4722.837587757618	-349.97189193084137	-4372.865695826777	32.500954427844334	417.27407748559574	25.903244460696587	17.619665231345646	25.237143788065808	39.90209343378417	3.0	5.0	5.0	1.0	6.0	8.822383784228927	0.5814337533002578	0.5482860058782819	1.8702802408214605	8.463345081068152E-4	-1235.2899191372967	-1197.7026847945501	-1939.8730918949295	-92.36120106698584
19000	9.537877441324532	-4717.519381990543	-344.1887252829922	-4373.330656707551	32.95285574918753	141.865355122064	72.58310439687598	26.75418891616668	26.386456734670965	44.35391750767829	2.0	1.0	6.0	10.0	1.0	7.871371101125905	0.5398126465109037	0.6317850321436937	1.8284023213454028	9.075791222572394E-4	-1236.663645514595	-1194.2614837246554	-1942.4055274683005	-87.56552815651811
20000	10.596503343187495	-4716.472027182619	-344.7630681760145	-4371.708959006604	29.266431613813747	214.5051825716074	21.898574445261755	12.959420023625508	31.35835819312156	8.700112643463976	5.0	4.0	7.0	3.0	1.0	9.905854123376578	0.658774685072188	0.5503048817658476	1.7909204331619646	9.22544259174333E-4	-1236.2556906693565	-1197.0437545095092	-1938.4095138277387	-88.9899819230596
21000	10.580069706810612	-4712.828419794741	-338.4688319177852	-4374.3595878769565	23.93069213422616	280.5282584335203	17.20981261579422	25.610726037427302	15.49649840516467	7.034843109010595	1.0	1.0	14.0	3.0	1.0	10.843539337055729	0.665395014806814	0.6269486200783305	1.7076563651148555	0.001068701829647618	-1236.4547335133095	-1195.3922145694055	-1942.5126397942415	-83.11576274587193
22000	10.820071055128349	-4714.66222066784	-342.678031956911	-4371.98418871093	26.274374516427944	301.5939807515962	28.62955974685122	31.03019408789962	15.427159294041916	18.455107167190967	2.0	1.0	14.0	1.0	2.0	8.339476853177478	0.5463935992600617	0.6963923501330681	1.75721405060687	0.0011059473091387174	-1232.3426702035515	-1196.584681311719	-1943.056837195659	-86.4826098000675
23000	10.575259251228417	-4714.546647891167	-342.44964054161017	-4372.097007349556	26.05490661410721	207.3721237389814	51.78885982970448	23.417384500960654	45.03937720157938	16.347451688102847	1.0	2.0	10.0	4.0	3.0	11.717612477056983	0.5463935992600617	0.6963923501330681	1.75721405060687	0.0011349418719435822	-1234.659906061192	-1195.2214274018722	-1942.2156738864921	-85.1646185511956
24000	11.126811034684138	-4724.472611068285	-347.2918550459134	-4377.1807560223715	21.756552870920338	234.37948230851288	72.27989733537424	30.738913817288324	58.93888014583913	34.475179212510255	1.0	2.0	10.0	6.0	1.0	9.004034890432637	0.622253607708192	0.6777735367824409	1.6999728555093667	0.001101098480080035	-1233.2048763114935	-1196.4824059631821	-1947.4934737476963	-88.9032151941585
25000	8.59123068744218	-4708.13967339464	-337.29003799875295	-4370.849635395887	25.35667371434833	173.32058414074822	36.916660114125975	20.571973447784675	17.44346767224465	18.387714048736477	1.0	5.0	8.0	2.0	4.0	9.708176947765795	0.5161522427068317	0.6162830297727955	1.8675647275203724	0.0012177217925523713	-1234.4974809184503	-1193.979473997928	-1942.3726804795083	-82.28440989019613
26000	10.02125186790874	-4700.988012210872	-330.97211749188494	-4370.015894718987	20.593794886093804	267.53859909666426	46.8438687915348	13.812768878976359	7.468504648669585	12.667744540416075	1.0	3.0	7.0	8.0	1.0	8.349254255421993	0.636747084116226	0.47090678851732903	1.8923461273664444	0.001358162654384665	-1234.8950956742017	-1196.4820167046275	-1938.6387823401576	-76.22298855412905
27000	9.882014390863835	-4702.620550775236	-331.61760395904423	-4371.002946816191	18.149445210901916	287.603717180918	398.894264247545	12.247631512868525	14.433447605362577	10.273704296562494	1.0	1.0	6.0	6.0	6.0	8.064123713308287	0.6767451621684284	0.5507879951864771	1.772466842645094	0.0016794811887892512	-1234.7677316831248	-1192.9944373416383	-1943.2407777914277	-73.47699654696551
28000	10.244772218102861	-4713.314169165378	-335.22246302490527	-4378.0917061404725	20.8441879951892	293.61161909209153	474.6441508176656	23.83218515485099	13.837720964331188	16.317871609864294	1.0	1.0	7.0	5.0	6.0	9.783245585320065	0.7556799913759955	0.5144741231384272	1.7298458854855765	0.0015701367642295219	-1236.848989644175	-1201.5763169458014	-1939.6663995504962	-75.93112122579166
29000	9.445080530710863	-4698.971719131075	-332.2703139574371	-4366.701405173638	20.098535839077144	413.5333637269454	283.3344610794429	10.357216719475932	7.821713442812206	17.075409956168553	1.0	1.0	9.0	8.0	1.0	10.379023954046511	0.5373950492043685	0.6392509785937488	1.8233539722018821	0.0015697732149920496	-1236.4715000529745	-1194.4980315889375	-1935.731873531726	-73.92134397729967
30000	10.115824148889057	-4704.2641277189705	-333.82636483435743	-4370.437762884613	18.627067033378623	378.82102438152174	258.34716502516994	16.576662576527628	11.964314990451403	29.427395295291326	1.0	1.0	7.0	9.0	2.0	10.598444730715052	0.7010381042240729	0.4966167605676285	1.8023451352082982	0.001589944940358516	-1237.081829085232	-1195.724403426969	-1937.631530372412	-74.56129709354468
31000	9.747145111801512	-4695.573788709151	-323.37734699188854	-4372.196441717262	17.042500547195466	455.4608857288963	208.72114980028587	12.350291275862888	4.3858728335656805	2.0235272628373906	1.0	1.0	8.0	9.0	1.0	9.466919001471775	0.7025231646745687	0.39402363310541033	1.9034532022200208	0.0018444071298349247	-1237.6250380084189	-1196.3386226425023	-1938.2327810663407	-67.9614152541631
32000	9.747145111801512	-4697.231805636513	-325.2177199780713	-4372.014085658442	17.245808347047827	508.470121902216	25.23203562913717	9.824785102239447	6.214070321214184	4.520498822403913	1.0	4.0	10.0	3.0	2.0	10.214649494690548	0.5839256847791524	0.6247011351401889	1.7913731800806585	0.0015552490814703763	-1235.3447486661248	-1195.1923784891935	-1941.476958503124	-71.033784139872
33000	9.382415075928924	-4697.322900504826	-324.5017805972888	-4372.821119907538	17.227106243639223	224.50113818087297	104.71323474307577	9.432074751515492	7.190628260893391	5.036348820162616	1.0	2.0	7.0	9.0	1.0	10.054554246161851	0.5959543573104767	0.5944834802911814	1.8095621623983416	0.0017055958585838298	-1236.7080604817093	-1193.556997673774	-1942.5560617520541	-70.22009862984397
34000	9.436564328101474	-4698.7296697219035	-329.64592838134644	-4369.083741340557	20.90759291267869	227.8015016000929	35.412331956632606	23.40170401303485	7.822313870509825	6.534039666808264	2.0	1.0	9.0	4.0	4.0	8.742811494375012	0.600525878838613	0.7074298161171473	1.6920443050442393	0.0013930048594396468	-1235.2758680466184	-1196.357129862019	-1937.4507434319196	-75.59953079407177
35000	9.380520618506509	-4693.32176125652	-323.87993016353556	-4369.441831092985	20.35722748451545	163.9341816407592	9.794196272186738	15.508483634396551	16.320667017023357	4.848681578277059	1.0	1.0	11.0	1.0	6.0	9.832308421042082	0.6408454782261926	0.5313247228137405	1.8278297989600665	0.001576438917462154	-1233.5417718146996	-1195.9872219662104	-1939.912837312075	-70.32856821024001
36000	8.191479761186667	-4691.452587935504	-323.1754575125885	-4368.277130422915	19.52298581714233	111.88788819961466	11.848013715988976	20.41064930453431	12.65655877050486	4.677469005121844	1.0	2.0	9.0	3.0	5.0	8.499204052245455	0.6499638527509533	0.6362770399006221	1.7137591073484244	0.0017863273090549271	-1234.2532503819878	-1195.387603997063	-1938.6362760438647	-70.4973254876323
37000	7.632913294613255	-4705.0320363053725	-323.45066910192213	-4381.58136720345	15.431669486284333	385.95612931301366	35.25264796933432	11.523309977327136	5.927385200369311	3.421977062744202	2.0	1.0	10.0	2.0	5.0	7.255230235132736	0.5356629557769956	0.4978042735404865	1.9665327706825178	0.0018524557601972197	-1235.0930986999554	-1191.8207263933396	-1954.6675421101552	-70.0025790344608
38000	7.67449178719558	-4696.500039349789	-326.8885382511769	-4369.611501098612	16.896444570403258	192.46013390561407	74.59881253472176	18.829903404878856	19.783103620060803	3.7107902434565982	1.0	1.0	5.0	9.0	4.0	6.970508544321566	0.5745073777580859	0.5246392060221843	1.9008534162197295	0.0020222627105417647	-1237.0222607522005	-1194.9414478553574	-1937.6477924910546	-72.05794617567027
39000	7.364874665601633	-4699.981429139169	-318.18614290726356	-4381.795286231906	14.38335584636151	71.72924018787037	134.27071902863273	8.943138658760379	5.741940585453106	4.952575900610123	1.0	3.0	4.0	6.0	6.0	9.70171422656943	0.6331103258982265	0.5111687731870791	1.8557209009146942	0.002300532595855515	-1233.025916212757	-1197.0636089028822	-1951.7057611162675	-64.82790004900856
40000	7.681787201340356	-4688.745122640466	-317.1033008941629	-4371.641821746303	14.398392281728446	213.85112335418674	98.43158136824258	9.838398163476157	5.1294361040665395	3.291556542174295	3.0	1.0	3.0	8.0	5.0	10.869695678132857	0.5661272561784476	0.48253928429700405	1.951333459524548	0.0021921305298305644	-1235.4844292170749	-1196.16754740613	-1939.9898451230986	-63.49430133761406
41000	7.981095673001338	-4685.72793871606	-314.3205825444176	-4371.407356171642	14.650770367195957	447.9196600310856	83.34408592148405	7.944404111408929	4.825008829179993	1.8988341629946177	1.0	3.0	6.0	6.0	4.0	10.045574757052862	0.7165217367345996	0.5614136788441267	1.7220645844212734	0.0024619321656131287	-1237.1976771380184	-1195.5262799643963	-1938.6833990692278	-60.19417853087073
