# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153533173]
state	age(CHICKEN_HEBEI_326_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7426.83159386174	-377.4984870708561	-7049.333106790884	138.12409469143415	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1729.2687646596853	-1590.8244569108192	-3729.2398852203796	-121.32984459808205
1000	0.44282015630164806	-5223.683356360806	-369.9331503336191	-4853.750206027187	56.351084508251894	210.26179987411172	159.2769329109781	108.14151413677905	40.65160122077347	47.67840898684266	1.0	8.0	4.0	2.0	5.0	1.5760830536805321	0.6135732851055558	0.609287807352536	1.7771389075419084	5.206773040624239E-4	-1327.4725737640852	-1260.395096574619	-2265.882535688483	-112.07863266613505
2000	0.15377413346154856	-4831.151019357716	-367.65524262766814	-4463.4957767300475	48.690539131065414	563.9455940563829	117.95002951931531	85.27460492316295	32.531727426778815	6.242976851114606	2.0	11.0	1.0	4.0	2.0	3.564778065737458	0.6135732851055558	0.609287807352536	1.7771389075419084	4.0600440695089964E-4	-1257.9980139387999	-1199.7614589131476	-2005.7363038781002	-109.25184064486545
3000	1.4152358383386061	-4747.50711587697	-359.25140083717054	-4388.255715039799	41.36648478718364	309.6935239527181	89.06192125209604	55.93408708531082	27.54554659708629	8.444135695912118	2.0	5.0	2.0	9.0	2.0	9.67349793246005	0.7072273775427143	0.5894603564862246	1.7033122659710616	5.93076785601039E-4	-1249.335287011836	-1195.9741035614309	-1942.9463244665321	-101.70835555944056
4000	0.9273591693270604	-4752.6383924868105	-364.50987022784466	-4388.128522258966	42.90662998249634	729.8880467948223	259.57707281891084	250.42948610599555	70.34948889903595	7.081467186454075	1.0	2.0	5.0	9.0	3.0	10.896073281408638	0.7035453067305586	0.5452438187909765	1.7512108744784654	5.001463356978182E-4	-1247.193410900647	-1195.0747662143735	-1945.8603451439456	-101.63949373218367
5000	0.2536114546310342	-4748.604143446262	-361.5147269959577	-4387.089416450304	38.23343328691806	900.8688171604191	350.1517796610313	224.41472632723037	29.514796041854968	12.114669415844073	1.0	4.0	1.0	11.0	3.0	9.512767373285662	0.5567707941551103	0.6156969807836058	1.8275322250612842	5.961261344026005E-4	-1248.7057465030184	-1195.6105321315517	-1942.7731378157343	-99.16854016815867
6000	0.9382472716367314	-4756.12454247589	-364.2687846679829	-4391.855757807907	43.48730339382363	535.2241538926156	388.16619976026914	79.87411889260922	55.40718577528358	12.698716490714457	1.0	2.0	4.0	9.0	4.0	9.122865003317859	0.5074301816588931	0.5990255870265655	1.8935442313145419	4.8767448947278365E-4	-1249.4940416279942	-1193.8164136220446	-1948.5453025578677	-103.0236416726973
7000	0.10839502305102267	-4748.7705484591115	-360.5974756874417	-4388.1730727716695	43.64756765562411	376.9332623594312	157.9294802954714	87.53274432501672	49.15786864644652	15.828410987418497	1.0	2.0	6.0	9.0	2.0	7.820761217960502	0.5659417140999584	0.5405140545855002	1.8935442313145419	5.544898022798439E-4	-1246.9961508795097	-1195.20171316174	-1945.9752087304198	-101.13202691860548
8000	0.46230694038136266	-4751.47170308785	-361.96694564018003	-4389.50475744767	56.72813704974527	351.05847405710665	81.04040112405322	22.016335993456362	33.78694359221031	60.469700656981296	2.0	7.0	2.0	8.0	1.0	9.82259525540544	0.7072919503847604	0.49407883391253016	1.7986292157027097	5.005211416434842E-4	-1249.8257049432084	-1198.825240146502	-1940.8538123579601	-102.86815502447838
9000	0.24563305998537066	-4750.576580573661	-364.18863349652224	-4386.387947077139	50.0298275369693	528.6505946404603	122.6065367771486	70.94433688849567	64.70711442529347	49.54920640111112	2.0	3.0	4.0	7.0	4.0	9.511530677719131	0.4731497824870186	0.49407883391253016	2.0327713836004513	5.317832136322859E-4	-1247.2443116272673	-1195.576235542689	-1943.567399907183	-103.40783033538897
