# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153532123]
state	age(CHICKEN_HONGKONG_915_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	8.0	-7549.686869922926	-365.0516342625258	-7184.6352356604	155.86718506525673	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1732.9283728490068	-1610.1470195161182	-3841.559843295275	-108.8829917897518
1000	8.650988743117681	-5147.031929441518	-379.12486688301647	-4767.907062558501	89.10789760785858	260.1123115175674	120.30436538920472	115.12389775599485	37.73197696467184	94.55282512261007	3.0	4.0	7.0	2.0	4.0	2.7693969137439716	0.5593497514867003	0.5935892319286716	1.8470610165846282	3.4604808986429684E-4	-1298.0744876560684	-1238.6054928185715	-2231.2270820838617	-119.3058532364865
2000	6.968704953435777	-4760.944043278103	-353.87017991901996	-4407.073863359083	51.08889294915433	212.98646638172778	59.80435772593664	15.671091419821574	27.7149359983268	36.316458970957555	2.0	5.0	1.0	6.0	6.0	5.075024955120811	0.6381785351332936	0.4756368776307931	1.8861845872359133	6.533622056202285E-4	-1233.2214716411615	-1196.0477926786555	-1977.8045990392657	-97.47828952899057
3000	8.76696170371996	-4730.276527606038	-352.99775289271093	-4377.278774713327	40.58953372976004	753.537157888389	55.6989082646448	23.15036035454737	45.09765098927364	15.9439585579236	1.0	9.0	3.0	4.0	3.0	7.663449613046128	0.5815232537921737	0.6964615573624586	1.7220151888453679	6.191176370505517E-4	-1235.2646158679277	-1193.8283230168784	-1948.1858358285208	-93.69129769599238
4000	9.01211174685949	-4724.627094496751	-353.07022395194804	-4371.556870544803	38.63427962184519	928.3814907747625	24.56463793352813	31.52871906059886	23.706200006143085	18.656699138931593	1.0	8.0	2.0	6.0	3.0	8.677003955771141	0.560722936762883	0.6499905410587361	1.7892865221783811	6.822647793989225E-4	-1233.3115586379447	-1196.4951803968265	-1941.750131510032	-94.31736071133388
5000	10.426730758290459	-4724.686002745619	-352.59017268518903	-4372.09583006043	40.372721083322176	528.5627617244838	44.735529891604585	44.81890567159092	25.428490268129497	13.377255953754139	1.0	9.0	3.0	6.0	1.0	7.821769039075144	0.5838014737699445	0.5763088226684264	1.8398897035616293	6.32096911479083E-4	-1234.7095746636542	-1189.6766260503848	-1947.709629346391	-94.71522696492127
6000	9.014012392655486	-4722.06428803774	-345.3217746910086	-4376.742513346731	34.272247433351836	1120.4429285205001	36.83542468487238	17.786501783566735	13.66925242502611	11.613047248749925	1.0	15.0	1.0	2.0	1.0	8.746409652517631	0.551410358878089	0.5827472505033264	1.8658423906185846	7.024934183995882E-4	-1237.4677556983806	-1189.4224967328048	-1949.8522609155466	-87.61778202426066
7000	9.215346577986848	-4722.87580502345	-350.17357760611276	-4372.702227417337	39.11879832090665	1248.4374560015422	38.74593227260192	15.476649638568254	7.575872452175917	8.56227920607634	1.0	14.0	3.0	1.0	1.0	8.507937290940996	0.55954631422906	0.5746112951523554	1.8658423906185846	7.203622791534454E-4	-1233.4896258299832	-1195.3540764264574	-1943.8585251608963	-93.04326405558419
8000	11.01148214866411	-4726.663688963989	-350.76927249905964	-4375.89441646493	29.280246713093085	921.2066799436191	179.4144161369362	21.873807773095187	11.565798657652742	8.032629442832015	2.0	5.0	4.0	4.0	5.0	10.363873264164651	0.5555330261330187	0.5371815343665731	1.907285439500408	8.07024401257354E-4	-1235.2485676124568	-1198.024165566259	-1942.6216832862149	-92.25808293748528
9000	11.041824900900314	-4722.773909776214	-351.54099700775527	-4371.232912768459	31.486014491076354	83.47599322649678	168.24901731958124	45.372148765334806	15.098612577849936	15.113780540993345	3.0	5.0	4.0	3.0	5.0	10.685447508369684	0.6576308111373823	0.5700126681236071	1.7723565207390106	8.947218463795734E-4	-1234.2211123105283	-1198.0400301826323	-1938.9717702752982	-94.79055267132723
