# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153531415]
state	age(VIETNAM_3062_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-7176.363484012676	-364.94415767829554	-6811.4193263343805	113.07883776376464	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1666.2232473971924	-1593.4922250260906	-3551.7038539110977	-108.77551520552156
1000	0.21617689046929645	-5077.705379709009	-384.8066528900048	-4692.898726819005	110.87073399190754	693.9999406128474	316.29139859143316	138.59315536840035	42.08124704965804	76.34583758421226	4.0	8.0	3.0	3.0	2.0	2.9524116077443696	0.5782006320285594	0.5083137888612923	1.9134855791101484	2.418296204473565E-4	-1287.795125557018	-1256.8390102073058	-2148.2645910546803	-122.94095551522749
2000	2.2476852618569785	-4766.42495872358	-375.59055779068643	-4390.834400932894	68.8838318742094	1029.4136810508837	309.9724603957858	75.2555683308214	115.23967804780628	76.43190407224662	1.0	4.0	7.0	6.0	2.0	10.224632316176478	0.5552692969689534	0.5525214574938855	1.8922092455371613	3.7979807624395574E-4	-1239.3280302177748	-1201.5094689121715	-1949.996901802948	-111.59092098362035
3000	4.157281849540022	-4748.326335355896	-372.8091431223762	-4375.517192233519	54.03013089550305	1054.975147983457	229.44380812205657	84.91775231969403	47.180992280486095	87.18322931465642	1.0	4.0	6.0	5.0	4.0	7.49006239062893	0.6615040587836438	0.5054555270795789	1.8330404141367775	4.0063653586725053E-4	-1237.7526897082712	-1195.8511776863913	-1941.9133248388575	-109.89213470292066
4000	4.434373438926887	-4738.814521249885	-361.46288207478153	-4377.351639175104	54.54835768632686	787.2563964462003	80.26942298324111	85.36150005493215	29.255867481635917	40.107076819653756	1.0	5.0	3.0	1.0	10.0	8.87578327107027	0.6236054392673293	0.5054555270795789	1.870939033653092	4.4035552009515636E-4	-1235.4518417852166	-1197.651297373354	-1944.248500016533	-100.59653965442459
5000	6.849477737046434	-4725.302347812716	-355.44157231219515	-4369.8607755005205	32.768952316123425	391.95548706779897	84.67351951123283	186.4123237402565	29.414432449567474	38.154783704602025	2.0	4.0	1.0	4.0	9.0	9.89660645178317	0.6380551000103164	0.5398503295695619	1.8220945704201212	7.366911189725121E-4	-1231.7329227379407	-1196.2943289628884	-1941.8335237996914	-94.02781727208004
6000	5.448486941647686	-4718.614488653502	-350.24038975497496	-4368.374098898527	32.73789374110715	402.4521071862376	88.4466196143312	216.3016502458453	12.45237867089715	21.952063381510158	1.0	1.0	2.0	5.0	11.0	7.5685456085690355	0.6357569504241716	0.5398503295695619	1.824392720006266	6.9508086498998E-4	-1234.0709830437947	-1193.2478873378573	-1941.0552285168749	-89.09596103625518
7000	3.0262292203319894	-4721.42230310414	-348.4803662945152	-4372.941936809625	31.211201484896485	196.4143083027094	208.2571244151747	97.42767017983184	14.652212025890561	17.902870386740652	1.0	1.0	4.0	3.0	11.0	8.1830010802863	0.5841637933812707	0.4784972311457335	1.9373389754729957	7.201092291482837E-4	-1234.364765639951	-1196.3401834822228	-1942.2369876874511	-90.05650633867485
8000	4.148497845112749	-4719.363432505327	-343.5397044811607	-4375.8237280241665	30.33259759998228	333.30936863376724	74.68523351303425	32.38045069584456	6.650381019093022	11.893751845008973	1.0	5.0	2.0	4.0	8.0	7.451441795381264	0.5841637933812707	0.39856043056116414	2.017275776057565	9.414967177245421E-4	-1235.2295579424976	-1198.4903609156652	-1942.1038091660034	-87.31768905162977
9000	4.066589008603304	-4715.691350822801	-341.0629268757518	-4374.628423947049	29.819562557708448	393.5381667947032	57.75610809963564	18.39680998270266	13.044921519964754	27.41091456846692	1.0	2.0	6.0	3.0	8.0	8.104922454782296	0.5418941739324215	0.49291570524218187	1.9651901208253963	9.440211594439748E-4	-1235.1454436112733	-1194.8040236512056	-1944.67895668457	-83.94914065172179
