# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153531149]
state	age(GOOSE_HONGKONG_W355_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	8.0	-8006.700943023106	-365.32656293088246	-7641.374380092224	124.33465072786365	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1808.1992107397634	-1711.9159007989758	-4121.259268553485	-109.15792045810846
1000	6.138233455558226	-5118.3942147156295	-367.0559827846845	-4751.338231930945	48.16855448272184	351.1251057498049	112.16162756510629	216.6190027864621	61.38791883121836	141.18565331055382	1.0	1.0	2.0	12.0	4.0	2.050123782496553	0.6988885032731209	0.4470700035665306	1.8540414931603488	6.11945577850539E-4	-1317.2274282148298	-1248.960919058293	-2185.149884657822	-105.30796365157696
2000	7.465866073817917	-4747.537484558916	-361.58688161902603	-4385.95060293989	36.39275619514685	369.5013323340156	120.73820333770999	184.110872141784	41.34357645646036	231.49825019646667	1.0	2.0	1.0	15.0	1.0	4.382841030271352	0.6032059419332463	0.4574302155859846	1.9393638424807693	7.046195892011751E-4	-1236.1301322022493	-1196.4096231015885	-1953.4108476360523	-96.61971559243972
3000	8.18561056037591	-4730.55060938919	-353.06305899338497	-4377.487550395805	32.90468300336249	369.22772528119145	253.74278706328622	60.55646405293551	34.86446581787043	24.981718281482536	1.0	2.0	2.0	8.0	7.0	7.793011793186709	0.6443193991766755	0.5069861116866239	1.8486944891367012	7.541729431646903E-4	-1233.0739516508315	-1194.1258895307838	-1950.2877092141894	-93.51897803009608
4000	8.101814583514978	-4722.738379341071	-348.7637196025395	-4373.974659738531	34.639730933842785	267.16646399718604	108.03404162940808	15.473231487172223	34.81091451365661	12.501267409046152	2.0	2.0	1.0	12.0	3.0	9.494060358710431	0.6188372449959708	0.5069861116866239	1.8741766433174059	7.775645113393033E-4	-1236.883281616899	-1194.890133677071	-1942.2012444445604	-90.95084594412958
5000	8.248555220116362	-4726.883911715687	-347.8141539267526	-4379.069757788934	36.553091501559024	653.7162095182757	169.1560212180269	22.109524155193586	16.814886120713215	6.391458910546154	1.0	1.0	10.0	7.0	1.0	8.41407580042326	0.6310401934673163	0.5533741837444861	1.8155856227881981	7.675805333023221E-4	-1231.1040276301069	-1194.8539414397756	-1953.1117887190517	-89.88119788929488
6000	7.906256947102875	-4732.840986114488	-350.94583363564425	-4381.895152478844	31.720384570594064	611.5014830321161	73.19319365772303	18.665322919934354	26.905759578171928	5.479334326909972	2.0	1.0	7.0	8.0	2.0	12.150317502559494	0.6977521744989083	0.5135136668035621	1.7887341586975303	7.53790351183576E-4	-1239.7800985891824	-1197.8462890439655	-1944.2687648456958	-92.82618250253545
7000	7.6118727892068465	-4724.401062985724	-349.3984030365507	-4375.002659949173	31.106290016456086	311.231748728327	34.20747002626919	17.263142229173663	14.73417535171059	5.448628301865427	1.0	7.0	2.0	9.0	1.0	11.227581770497995	0.6429596783385673	0.4974327274384532	1.8596075942229802	7.45512593838527E-4	-1237.3218586130797	-1194.9684520517267	-1942.7123492843666	-94.33138722403427
8000	7.011144685617696	-4723.244486043077	-348.23057852019014	-4375.013907522887	36.83016449843233	1476.2940809780912	58.0207315247621	15.623498605217595	14.517049730095954	7.958726716443805	1.0	5.0	5.0	8.0	1.0	7.963342742207053	0.7408796943720314	0.4982933616186601	1.760826944009309	7.885507232586105E-4	-1237.9061861021294	-1196.1709448082056	-1940.9367766125524	-90.03175006200532
9000	7.974634608513963	-4720.801778133135	-344.5387327173013	-4376.263045415833	27.290904199261494	3986.63070846881	34.64372936866476	23.45627402877581	15.738717718892048	2.342365760919769	1.0	5.0	8.0	5.0	1.0	9.838517552404324	0.5875520334576187	0.6513945137300536	1.761053452812328	9.5415972796936E-4	-1234.7302267834787	-1199.376585046932	-1942.156233585423	-84.45056576597229
10000	7.425010424412305	-4721.211344091204	-347.85164527931397	-4373.359698811891	29.01259318692545	3760.7498175556398	32.409606924214195	16.859123631916255	40.59722674667525	3.5248630684861886	1.0	7.0	7.0	2.0	3.0	7.817922731327895	0.543393485848465	0.5967329892459808	1.8598735249055545	9.004381718840496E-4	-1235.8198798734127	-1197.668901340877	-1939.8709175976007	-86.0412639393859
11000	7.27644378490889	-4727.410003208077	-349.8873663476295	-4377.522636860447	30.636841178227527	8682.165911330841	48.42265033155309	25.181711982685343	40.78709147875392	7.043903185772606	1.0	5.0	10.0	1.0	3.0	9.40856492286562	0.543393485848465	0.5444404901081614	1.912166024043374	9.467056975441631E-4	-1239.4895742193514	-1195.4334687738124	-1942.5995938672834	-86.11670531168284
12000	8.023947476118728	-4726.154989013446	-353.1013366180885	-4373.053652395357	27.869467527648514	9160.235390101125	172.6935449431851	29.15036178081284	50.24315963554738	5.565596826040498	1.0	2.0	13.0	2.0	2.0	9.818500255817394	0.5512327243304082	0.5444404901081614	1.9043267855614308	8.067169507670667E-4	-1234.1925749125066	-1194.7542569791044	-1944.1068205037461	-87.85043417579071
13000	8.577914436878999	-4720.9199646653615	-347.1275511397537	-4373.792413525608	31.145808204549876	1584.8342709563628	103.53167892613686	23.870865251274406	31.945421553696033	10.212072558441239	1.0	1.0	14.0	1.0	3.0	9.827429338952971	0.5512327243304082	0.5323548443884146	1.9164124312811777	8.809056407239098E-4	-1237.3587466175788	-1192.174663486561	-1944.259003421468	-86.61700431585498
14000	8.327429755063452	-4731.593751485436	-349.92859689188333	-4381.665154593553	29.797976459434754	990.3496231219423	79.2184564965075	18.23265458047625	13.423672507614691	14.91037019352458	1.0	3.0	10.0	4.0	2.0	9.842938867902673	0.5648002545470086	0.47389554631561237	1.9613041991373794	8.47753833554578E-4	-1233.3039151476669	-1193.3479789456135	-1955.0132605002732	-91.55763150636905
15000	8.81968021704585	-4718.38796497345	-346.9985371309594	-4371.3894278424905	28.110834880249275	1374.483025050875	95.57902880445545	33.50371477212298	22.275688493844093	7.279692829240958	2.0	1.0	7.0	7.0	3.0	8.554001571304791	0.6049155773370563	0.5786847472914349	1.8163996753715093	9.145939248772609E-4	-1234.2871447084306	-1191.0686148551783	-1946.0336682788814	-87.55511265868529
