# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153561734]
state	age(DUCK_HONGKONG_Y283_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	8.0	-8014.632036986111	-371.8112069514067	-7642.820830034705	234.90309329767172	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1825.24471863908	-1759.7806344536734	-4057.7954769419516	-115.64256447863274
1000	7.079214244798686	-5067.052914429884	-388.59622664720507	-4678.456687782679	81.9172890654	362.9200272872654	409.49522267702866	129.74060661301138	255.86677862901257	80.16267957972651	7.0	3.0	3.0	5.0	2.0	3.907254056314861	0.7229945286155486	0.3471077666276836	1.9298977047567678	3.0669393260370246E-4	-1305.073140647098	-1252.0229872371845	-2121.360559898397	-125.03079348879918
2000	7.665630317589233	-4771.6133399375285	-375.28909186269385	-4396.324248074835	44.58064367071652	422.7002960413465	179.36772940472764	210.15205527688565	45.81234575582878	128.66349086094044	6.0	6.0	1.0	5.0	2.0	6.894504307551699	0.6233124404518844	0.5319352349730426	1.8447523245750728	4.900723898740069E-4	-1243.9953786522356	-1192.3779300942183	-1959.950939328381	-112.02225773755106
3000	4.946498815521551	-4745.785525430802	-362.312035870883	-4383.4734895599195	45.733048814239325	444.5247050460422	110.93034386732113	61.357882022671916	27.915179418037102	75.24324267718818	1.0	6.0	1.0	6.0	6.0	10.567735697140076	0.645757047716836	0.5319352349730426	1.8223077173101212	5.632662402708528E-4	-1237.2782678374788	-1197.1421795532144	-1949.053042169226	-101.39386337921825
4000	5.096830331993386	-4746.865806885157	-365.61489227265736	-4381.2509146125	57.85251034469093	1265.369908152899	171.1515790782448	31.962176977263166	32.84924083918171	37.2128937529784	1.0	4.0	4.0	2.0	9.0	8.622331982025694	0.6024664645728576	0.48640189033183934	1.9111316450953029	4.5350319730801255E-4	-1235.5450063261812	-1202.1336723352658	-1943.572235951053	-104.3341581405222
5000	5.825395197793345	-4748.847770109256	-370.31847778428164	-4378.529292324974	59.44919994380786	207.7172580942004	63.81890533651699	42.02844865808878	78.38751015596888	19.74763982397493	6.0	1.0	7.0	2.0	4.0	8.53149777232113	0.5885914286659198	0.5711616533250937	1.8402469180089862	3.788538307422166E-4	-1235.1866936039623	-1195.330901175856	-1948.0116975451565	-111.90496057362338
6000	6.657671693315197	-4749.427219816727	-367.5317131799371	-4381.89550663679	58.39452546551929	222.21811151482282	39.98613047965018	81.611827101738	26.498874986605635	26.638718523298916	4.0	3.0	6.0	4.0	3.0	7.979605657648883	0.638125513535666	0.5436674925507246	1.818206993913609	4.5246762109392343E-4	-1236.1033059859988	-1193.4584040565965	-1952.3337965941946	-109.47047131350686
7000	7.47449750051774	-4730.8045596508355	-356.22369007569483	-4374.58086957514	38.046015749018814	654.6967445073021	85.04546973397497	28.254822242738893	26.958897029736956	53.01329558717658	1.0	6.0	5.0	2.0	6.0	8.14334515790617	0.5409504740903571	0.6223966893274108	1.8366528365822319	6.830609282072167E-4	-1236.5188937945402	-1197.5769095719631	-1940.4850662086365	-96.43815601957733
8000	7.135011858808183	-4724.575866095315	-350.7588399535367	-4373.817026141778	33.17715973209904	543.6338625442025	61.54180218350564	22.087562946425567	11.908783386741938	31.503463905664457	2.0	2.0	3.0	3.0	10.0	10.776832044698246	0.5525036036976815	0.5353235520719546	1.9121728442303638	8.170085517336875E-4	-1234.5354807844576	-1197.1060216724245	-1942.1755236848956	-92.17770483141318
9000	7.332063795772806	-4727.122096232439	-351.724937067164	-4375.397159165274	32.04775044344403	246.90403570000134	86.1727249658025	19.70924173506993	9.19161650172489	18.487819258193067	7.0	1.0	1.0	4.0	7.0	9.557131594138703	0.6698670809661529	0.4984900695894702	1.8316428494443768	6.89653804184979E-4	-1235.6513320367644	-1198.7949928717003	-1940.9508342568097	-95.47993739489092
10000	7.379907127170296	-4731.247037717596	-354.2357291082113	-4377.011308609384	43.10970366206378	201.05734630121995	84.47678955888404	11.225413053158013	41.46165357417679	24.9518115043302	4.0	4.0	2.0	2.0	8.0	12.144212977111263	0.6689945042535139	0.4984900695894702	1.8325154261570158	6.500577107214741E-4	-1237.9356778543497	-1198.4764168787133	-1940.5992138763208	-95.4453592392785
11000	7.971723071301437	-4728.535752042124	-355.57433766725035	-4372.961414374873	38.12686002495378	151.0619046694978	102.16216543165866	13.25332482486097	53.55039983334246	22.02561400866411	6.0	2.0	2.0	1.0	9.0	9.003591287330506	0.6853232867921766	0.47988948502873424	1.8347872281790891	7.418206285163962E-4	-1237.3868022646661	-1195.9522690137135	-1939.6223430964935	-96.63353862970183
