# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153560927]
state	age(DUCK_VIETNAM_376_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7959.85945743274	-365.69796803660734	-7594.161489396132	281.7053253698174	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1856.7988430360965	-1740.489065822286	-3996.87358053775	-109.52932556383331
1000	1.505631330754883	-5312.437762189989	-382.0015429425061	-4930.436219247484	81.94396823804583	281.41502664160504	93.58597628087647	147.76583805865656	73.27540918420317	63.49388631004193	8.0	1.0	7.0	2.0	2.0	2.152935191808129	0.6727044717423303	0.4761987767283623	1.851096751529307	2.9347615655529047E-4	-1333.4787109573676	-1274.4476455298286	-2322.509862760288	-122.5939206988799
2000	0.9310860009606292	-4819.393293771562	-387.25564446492257	-4432.137649306639	108.38310219546024	449.33448142178526	145.63746747586436	167.48681627433925	72.24201486763246	54.33591040910461	12.0	2.0	2.0	3.0	1.0	7.4770852455736705	0.5749526710531248	0.5627392791184224	1.8623080498284525	2.34139456965435E-4	-1250.1245448955194	-1193.8146766593434	-1988.198427751776	-125.73009955517692
3000	2.566507045261048	-4776.071507873054	-383.5820444361758	-4392.4894634368775	109.20487296550638	594.9460342741771	95.532971610667	148.6938640804527	54.807667634658195	58.7344803596055	7.0	6.0	1.0	1.0	5.0	8.444214330121534	0.6152674330016558	0.5153194739707936	1.8694130930275503	2.267246457307105E-4	-1244.2641721688174	-1198.2187376378085	-1950.0065536302513	-121.69063931516806
4000	0.9233000690310973	-4772.460900281656	-383.4075685914555	-4389.0533316902	92.7983922349811	462.83042717481135	122.61119093395946	172.44976177353718	80.63851524422527	78.62682137474906	6.0	8.0	1.0	1.0	4.0	10.187462023129406	0.6071875112782283	0.4677084571759068	1.9251040315458647	2.525302001023252E-4	-1246.3287522500118	-1195.9971058142144	-1946.7274736259737	-121.09002809949969
5000	3.643337841173046	-4757.664455615817	-381.94935632075766	-4375.715099295059	89.39921207670955	252.66895627956907	69.9206902258063	72.35695731752115	75.72334406847558	80.00502625868555	5.0	9.0	2.0	1.0	3.0	9.296169026299289	0.6514677334101737	0.5935600086207251	1.754972257969101	2.693227844806423E-4	-1236.704143646988	-1193.7471438360903	-1945.263811811981	-122.1263844009425
6000	2.3932397895122426	-4764.143411470556	-384.41107056148337	-4379.732340909073	93.84050392562474	527.0893938985014	392.6240133401489	104.04708349091426	63.93656688385693	35.845267956025154	3.0	3.0	3.0	6.0	5.0	6.2749266482581145	0.6514677334101737	0.5718344110143576	1.7766978555754684	2.2301355986456016E-4	-1234.9926759497853	-1194.1123898224394	-1950.6272751368492	-122.82064212913878
7000	4.144004802260361	-4758.7385438581705	-381.42353241323025	-4377.31501144494	104.60342549243734	581.7767523706432	594.628613547737	106.81016851680062	74.30505534085259	51.757523750605316	4.0	2.0	6.0	6.0	2.0	7.966064410142614	0.6228895265522117	0.5645462582781089	1.812564215169679	2.3683035461175028E-4	-1235.1374798656252	-1196.0282632863643	-1946.1492682929497	-118.39654557548127
8000	4.3292901408538365	-4758.830578434556	-376.8876311874199	-4381.942947247136	66.95089861913594	966.341423176367	146.3409634536	104.91739989929204	62.47351340673416	18.221969226852377	3.0	5.0	2.0	8.0	2.0	8.47794362057173	0.5886702584040042	0.6980025600641644	1.7133271815318312	3.224322774885195E-4	-1234.2555803933917	-1195.736262750471	-1951.9511041032727	-115.21525866843108
9000	3.171095082222668	-4751.783974568527	-367.0517887708717	-4384.732185797655	60.54114774782024	279.5872430506575	538.4522386897665	117.49492792891027	53.39982245656085	15.75819907077637	2.0	2.0	1.0	13.0	2.0	7.429329900288324	0.5086203111431573	0.7780525073250113	1.7133271815318312	4.470441680001405E-4	-1234.4753350421481	-1198.093423384164	-1952.1634273713426	-105.59463776686398
