# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:43 BST 2015 [seed=1430143301943]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep6.treeLikelihood	CP2.Flu_Rep6.treeLikelihood	CP3.Flu_Rep6.treeLikelihood	skyline
0	-7594.4255736063205	-134.71583993593404	-7459.709733670386	149.49195279108272	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1769.1776212129078	-1659.663989916496	-4030.868122540983	-108.80570676256463
1000	-5532.513204497691	-167.30864087903694	-5365.204563618654	141.00682968809977	470.33582284259364	65.79624468981382	35.73794336163278	134.89312442698932	90.84396008321437	4.0	2.0	1.0	7.0	6.0	1.910250616539631	0.6105693627090344	0.5336142509203408	1.855816386370625	2.689739238704092E-4	-1433.9263146249273	-1361.5080424342805	-2569.7702065594467	-136.5562425335899
2000	-4593.445155111436	-157.93352333144534	-4435.511631779991	122.70072400390134	767.2856829685891	396.38506914801565	152.10659720294632	148.24918373230764	72.27332615409809	4.0	1.0	2.0	11.0	2.0	3.9812210378127	0.6105693627090344	0.5762604476078877	1.813170189683078	1.834020475239924E-4	-1244.9808399625715	-1196.4614794641707	-1994.0693123532494	-124.89786027344536
3000	-4551.6297413260945	-167.41974834570303	-4384.209992980392	189.0706106879091	522.6248945656906	160.57420248433792	379.60916102605046	91.43185458053118	64.93267498867684	5.0	1.0	1.0	12.0	1.0	8.863054103465739	0.5954767953921447	0.5858411009334034	1.8186821036744523	1.3799974348631085E-4	-1242.5260572037723	-1199.7799820935434	-1941.9039536830762	-133.56428440466615
4000	-4554.484303102756	-174.6497234384975	-4379.834579664258	231.47127211974833	1088.9744615709262	408.5103907297346	226.2582856602774	410.4146019961365	78.68581929204815	6.0	1.0	4.0	6.0	3.0	8.984718583645504	0.5954767953921447	0.44377811149941987	1.9607450931084358	1.059198448285316E-4	-1234.5089684975756	-1196.9467148509923	-1948.3788963156903	-138.08221406247785
5000	-4555.479855154645	-167.35854429432084	-4388.121310860324	169.57012198023858	657.5732089039703	162.93838997971636	239.32660520031754	174.8968648683005	50.98006005997302	10.0	2.0	5.0	1.0	2.0	9.978785497038507	0.4557357630316532	0.4588976435277693	2.0853665934405776	1.4317815784141647E-4	-1240.6146038590234	-1197.0199750357872	-1950.4867319655134	-133.60669510857576
6000	-4567.698764966732	-183.35361871572593	-4384.345146251006	351.7635964280894	1638.4734014501769	233.41288955193272	248.3528009559968	284.662230745975	142.15480612351843	7.0	1.0	5.0	3.0	4.0	10.449301526121456	0.5810958066713148	0.4906340953442639	1.9282700979844216	8.041885930137721E-5	-1238.573575376046	-1201.9049722630077	-1943.8665986119518	-146.73303497182607
7000	-4558.364503833119	-179.6187759506928	-4378.745727882426	275.65030868917273	1482.4643359710592	532.5330288785501	459.5696614441713	237.05622033754068	157.179187129982	6.0	2.0	4.0	6.0	2.0	9.918687930258729	0.5578165675924287	0.5581599762195096	1.884023456188062	8.518094478452494E-5	-1236.893888698014	-1198.8816224213683	-1942.9702167630433	-142.44412259740216
8000	-4538.086975282511	-157.5940977057926	-4380.4928775767185	120.03567629401455	244.4274869923655	473.3978083960699	109.72982528597021	63.999182305878705	49.24136876795557	2.0	3.0	4.0	9.0	2.0	10.937292532759471	0.7279923515961193	0.5556765001807558	1.7163311482231252	1.8772282358963028E-4	-1235.670660571685	-1199.987044485077	-1944.8351725199568	-125.66605121725104
9000	-4530.941032914022	-146.65517747495403	-4384.285855439068	66.92482960743996	581.1947647124761	484.4176860491093	109.76908199932508	100.1011055910636	34.11857331345504	1.0	4.0	9.0	3.0	3.0	9.718598566006943	0.6301194090769112	0.6071318894944451	1.7627487014286438	2.9148220259873117E-4	-1237.925711400147	-1199.7280900532146	-1946.632053985706	-113.85060545788221
10000	-4540.671809039757	-160.24651073681673	-4380.42529830294	150.9887284707091	490.8651166811096	150.9158237159438	87.15244541762895	131.04692064909625	36.70246741581376	7.0	2.0	8.0	1.0	2.0	10.114809553018848	0.5958142207849457	0.644308025723355	1.7598777534916996	1.5750346106853047E-4	-1236.9015901753505	-1199.155835789938	-1944.367872337651	-128.51157287935752
11000	-4551.105128036548	-166.8481519358383	-4384.25697610071	136.10918920220627	1113.4480458556382	144.9860060214968	105.29723524188917	466.8655811026277	22.60650596789917	8.0	1.0	6.0	2.0	3.0	6.943552512296286	0.4780260843186256	0.6297301582265802	1.8922437574547946	1.5395681630779362E-4	-1241.8348749200547	-1196.5434849147844	-1945.8786162658705	-129.76175799902302
12000	-4546.344196132993	-169.6227972751905	-4376.721398857802	207.71458556637313	1342.4083122053282	175.88038341655513	150.77249837148761	155.19378297000102	24.330709354345654	6.0	5.0	5.0	1.0	3.0	7.918837116052472	0.5958685797992221	0.5118876627459836	1.8922437574547946	1.1994967838641642E-4	-1235.8724852484077	-1196.8546360293021	-1943.9942775800923	-135.74449750237955
13000	-4548.129319555245	-162.36506776610327	-4385.764251789142	149.15632576946948	508.63587079074796	187.55265003717793	118.03112313450258	114.28653208718274	13.056405679476462	4.0	5.0	8.0	2.0	1.0	8.386629623543957	0.697520299818008	0.5259603537020834	1.776519346479909	1.4620336372859157E-4	-1237.9455615673917	-1200.2690113152516	-1947.5496789064985	-130.9506711320658
14000	-4559.5517750070485	-173.1156155826991	-4386.436159424349	212.06769598496896	1017.0782863841548	399.1587507702185	227.84068588913578	239.79634157666092	13.327937989900395	4.0	7.0	4.0	3.0	2.0	9.90380827005371	0.5574681616517274	0.577538815225783	1.8649930231224898	1.0443428971845094E-4	-1236.5099916405836	-1194.0198359069582	-1955.906331876808	-138.00420920637958
15000	-4570.772532535066	-178.4322850110318	-4392.340247524034	332.9591341234981	2103.4487816524734	305.31361255981585	585.7368288167099	224.57842776840354	45.61050223891234	5.0	8.0	1.0	5.0	1.0	7.419826826591315	0.6144498628626239	0.6505697503521812	1.734980386785195	6.891148934469021E-5	-1240.4215327429745	-1195.574940331481	-1956.3437744495782	-140.9668963907791
16000	-4567.385807212158	-187.44765432538463	-4379.938152886773	407.8301835434246	2040.5579675331167	523.187067604158	585.3355771399386	283.942337636987	74.68412635497434	5.0	4.0	5.0	4.0	2.0	10.84825394747762	0.6054046805422304	0.5267175874851426	1.8678777319726267	5.7538473461247134E-5	-1235.3075943991428	-1200.0717767834044	-1944.558781704226	-149.41749611171937
17000	-4576.251947412806	-191.69955091171659	-4384.552396501089	441.3102058947042	2954.24977834605	407.1764486217351	213.2249708856738	348.13805496898266	154.06474524783422	7.0	6.0	1.0	2.0	4.0	10.047351481340533	0.5469534908752085	0.48245082145222085	1.9705956876725705	4.9973251286241114E-5	-1236.4570422819138	-1200.895318330637	-1947.2000358885384	-153.44928795877365
18000	-4557.897111250971	-180.40103675155484	-4377.496074499416	353.1500160323686	2521.0356028679466	338.44038719984513	186.2868838485799	313.0602342518305	369.28876116089975	5.0	4.0	1.0	7.0	3.0	8.350172471229488	0.6067021202291403	0.5520824663764812	1.8412154133943783	7.446250402473378E-5	-1235.4651260436844	-1196.5197854477685	-1945.511163007963	-142.27106216156074
19000	-4577.401409676521	-197.331850952306	-4380.069558724215	501.5637826012384	7910.7393462595965	693.6530842611185	227.5222190563594	463.75988408158906	507.3998961145575	5.0	5.0	3.0	6.0	1.0	10.531719628225986	0.6067021202291403	0.5319803189390115	1.861317560831848	4.461478500542125E-5	-1236.113534417853	-1195.3968844456933	-1948.5591398606693	-155.3688223728649
