# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:44 BST 2015 [seed=1430143303380]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-7083.335269324047	-141.0436369173912	-6942.2916324066555	222.43027196580778	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1762.6972008976138	-1691.3390892989598	-3488.255342210082	-115.1335037440218
1000	-4954.079612902358	-141.4077436285007	-4812.671869273858	55.17068404810809	304.07510036534876	163.92690482098263	80.48105940081055	55.53393592723818	34.310719733757686	6.0	1.0	9.0	2.0	2.0	1.1988084553857015	0.5129262941705035	0.5116227169042267	1.97545098892527	3.9925950318438035E-4	-1314.803173136046	-1238.1862471317952	-2259.6824490060158	-113.94951396101047
2000	-4659.412243972597	-141.26315696209133	-4518.149087010505	67.49424899999092	255.24840382364022	71.60039497517778	54.94600897468328	39.33842573049435	25.051867733787542	7.0	2.0	6.0	3.0	2.0	1.4054992482639235	0.5312031005073369	0.46539837962902986	2.0033985198636337	3.212414541554647E-4	-1259.454364131256	-1210.5358662136887	-2048.158856665561	-115.48794945210211
3000	-4592.553752126527	-138.22564761943826	-4454.328104507089	75.36340359643786	425.3442842591436	101.63038205990354	65.39410663061831	64.64052158211311	28.689108690687156	3.0	8.0	1.0	6.0	2.0	1.893602535124512	0.6371616405720804	0.5865965094727071	1.7762418499552128	3.297676732804224E-4	-1250.310844493362	-1207.3589611217992	-1996.658298891928	-110.19606368106784
4000	-4524.9505194321355	-141.30728931805155	-4383.643230114084	70.11798062003126	573.3106230088767	81.66513867765178	42.92693119194999	77.32396531420149	13.36735643666678	3.0	6.0	2.0	7.0	2.0	4.591035879564267	0.6541748458338386	0.5865965094727071	1.7592286446934546	3.633888365165537E-4	-1235.6050033760503	-1195.0964396499187	-1952.9417870881152	-111.92793985831659
5000	-4514.691037543166	-139.9367307344571	-4374.754306808709	65.45389971923343	1020.2916037371693	45.53755386260652	74.07136408036364	74.1127457374261	14.840199177244989	4.0	8.0	3.0	2.0	3.0	10.778711886622075	0.5834022783338089	0.5545891404754273	1.8620085811907643	3.401152965705536E-4	-1236.2187445457514	-1196.3685562758853	-1942.1670059870717	-108.40228802338771
6000	-4517.118728861326	-139.77799817671988	-4377.340730684607	59.462731753626635	1105.915856555824	31.249869310588437	70.5317401586486	52.97821432352801	32.3915437518728	5.0	9.0	2.0	3.0	1.0	8.996026497150948	0.5483431093011968	0.5422935731024663	1.9093633175963374	3.537200450492456E-4	-1235.8536146222507	-1196.6741730330086	-1944.8129430293475	-108.24857768308703
7000	-4527.526890334611	-152.9429873237204	-4374.583903010891	105.9205393606406	607.8104685286168	34.586214177749355	157.01823110001723	92.07703051790294	15.320086377677848	7.0	5.0	5.0	2.0	1.0	9.519554350847661	0.6078097212451746	0.5421628690358793	1.8500274097189466	2.2738843677283348E-4	-1235.4588686737413	-1194.2887016974666	-1944.8363326396827	-119.39786632430709
8000	-4533.425639982571	-151.4070456234263	-4382.018594359144	94.50375072460807	705.5582965268601	174.35662942188875	102.66171475869382	56.18359446115717	28.76579824708779	7.0	2.0	6.0	2.0	3.0	8.408835750048578	0.6797402352823005	0.48384747933834454	1.8364122853793554	2.450334778376E-4	-1240.4593749944434	-1195.0226657890526	-1946.5365535756484	-120.44342961766904
9000	-4518.924311718228	-140.69950398700655	-4378.2248077312215	64.22157940665174	877.0266587796423	183.4403115034294	118.21889633535127	70.27732811211236	14.22551122144693	3.0	4.0	3.0	7.0	3.0	10.02520853284102	0.574112466175937	0.5680958742906721	1.8577916595333914	3.4813131718051656E-4	-1240.0246894653035	-1196.3929053302754	-1941.8072129356424	-108.95394654072284
10000	-4525.686215831998	-146.7527222512372	-4378.933493580761	78.47786935441454	1272.4239946917296	253.82596209601274	111.62888849515265	84.45115740771838	18.39618117756226	3.0	6.0	3.0	5.0	3.0	6.779209440312514	0.574112466175937	0.5359757717269797	1.8899117620970838	3.319805012337763E-4	-1236.2607281871904	-1194.996816540566	-1947.6759488530047	-114.23986712537574
11000	-4517.54432241114	-141.76284342193628	-4375.781478989204	69.43142690956661	713.3567378422312	142.008083354114	48.85742668507089	78.78568891797141	19.5209390551862	3.0	3.0	3.0	10.0	1.0	8.867198435542063	0.6589613740388622	0.48100836766625454	1.8600302582948838	3.4928853562495856E-4	-1235.8647598693246	-1190.3191182747469	-1949.5976008451325	-110.82554663394667
12000	-4525.187251056633	-146.4429953145116	-4378.744255742121	83.07732455970462	471.2410051236912	179.0377516374947	39.7494413791111	72.83122043158144	39.91654373062938	3.0	1.0	3.0	10.0	3.0	9.160304618158902	0.5872766631370024	0.603454722790995	1.8092686140720033	2.57866058575687E-4	-1238.1470588497023	-1195.574570235408	-1945.0226266570107	-115.77676724302589
13000	-4527.518150243022	-144.07552749127132	-4383.442622751751	81.78965605110955	963.6737404638125	132.65588458537908	165.5789870297399	147.07890701754096	31.672832977724585	1.0	4.0	2.0	8.0	5.0	8.422915413816998	0.6086908138811874	0.6197265371036911	1.7715826490151223	3.1812536922464456E-4	-1236.142440450906	-1198.012199407171	-1949.2879828936734	-110.72543297062067
14000	-4503.07192036351	-131.71355266042093	-4371.358367703089	46.17322703760948	1074.7604694580082	45.361333339246634	53.209233631623	53.133675990178624	34.32968393734309	2.0	4.0	2.0	3.0	9.0	10.80479920934425	0.6086908138811874	0.4991459946019718	1.8921631915168415	5.325773185477319E-4	-1234.0646906489555	-1194.912305491472	-1942.3813715626623	-100.75225826273164
15000	-4502.887907926784	-130.59548360311726	-4372.292424323667	46.042173865294814	316.60037522714896	60.210952105615924	58.63360472621653	95.85895390970792	57.07336505079878	1.0	2.0	5.0	5.0	7.0	9.23156632510833	0.619520051277654	0.4991459946019718	1.881333954120375	5.625076456913265E-4	-1233.3606732835917	-1195.0993140925902	-1943.8324369474851	-100.73128165286242
16000	-4496.410871598528	-122.5997135148061	-4373.811158083721	35.10653827592318	162.5551687801929	51.24356455697386	31.117454512386526	56.56881468995268	62.01484994201756	2.0	1.0	8.0	6.0	3.0	10.06243042135311	0.619520051277654	0.5384597141155434	1.8420202346068035	7.622695066845415E-4	-1234.945474981699	-1192.861301767489	-1946.0043813345335	-94.86238360205567
17000	-4498.143560574754	-126.50778578933586	-4371.635774785418	38.24643026771053	220.9355790691377	112.67823646746714	19.729211627538202	93.53334724066531	15.290896743964263	2.0	3.0	5.0	5.0	5.0	8.426637332544239	0.6155908751721691	0.5116837801182688	1.8727253447095633	6.545924460723715E-4	-1233.123629663936	-1192.940755721419	-1945.571389400063	-95.74625619192504
18000	-4502.288847089163	-125.55323427020613	-4376.735612818957	37.79502640334551	228.07050595828113	151.65834437560213	25.116871998573092	27.73513029313265	41.26151940948343	1.0	3.0	1.0	8.0	7.0	9.21923851603322	0.6426551629343166	0.6086855891110683	1.7486592479546164	6.733368273887712E-4	-1234.6070462138102	-1195.53627479122	-1946.5922918139263	-97.48224310322075
19000	-4498.853406099278	-124.78611841666793	-4374.06728768261	43.10396659778049	191.74974470293685	61.10285612618215	37.73246413335193	50.971822553911096	36.370413796409046	2.0	1.0	7.0	8.0	2.0	9.382080181756738	0.5559162588794353	0.5131769392611599	1.9309068018594062	5.974948704416047E-4	-1235.7436898176293	-1193.7704732226118	-1944.5531246423693	-97.35998506443298
20000	-4503.250680062523	-130.93483165379828	-4372.315848408725	44.1444140008768	254.60670441266367	58.45758408241854	33.57078720308333	122.3910613993614	35.852202907249286	2.0	3.0	10.0	3.0	2.0	6.7568560239729845	0.5559162588794353	0.5131769392611599	1.9309068018594062	6.19975787154206E-4	-1232.5858780289834	-1193.9226793306198	-1945.8072910491217	-100.81308695727657
21000	-4507.072223112024	-130.13697575041715	-4376.935247361607	37.80514822048447	528.520255360776	113.48343337872721	54.85057106206614	81.4337409647987	42.505129190281885	1.0	3.0	6.0	1.0	9.0	8.69415972078108	0.6752963081369985	0.5399398159525799	1.784763875910423	5.997606731778291E-4	-1234.9698528335289	-1193.2130742183024	-1948.7523203097758	-99.59344138779329
