"calibr","mean","median","lowerHPD","HigherHPD"
"1",0,0.00402567598961758,0.00401660384114696,0.00257866956997196,0.00546093217523829
"2",1,6.42205948079891e-05,4.85430625264704e-05,1.06351678822853e-06,0.000175169031087105
"3",2,9.63028460996097e-05,6.26876399395741e-05,1.11064200651541e-06,0.000314790184399533
"4",3,6.83347371786945e-05,5.12763296901542e-05,7.28429333599362e-07,0.000186418518009338
"5",4,0.000294675809001545,0.000290545733587688,6.66175734811888e-05,0.000518624901813762
"6",5,6.41161781057282e-05,4.96094945305739e-05,1.58113280623433e-06,0.000168512665301358
"7",6,9.51374722055231e-05,7.72044251038117e-05,1.54131017016335e-06,0.000244944609753367
"8",7,7.3132757961911e-05,5.71790247874002e-05,1.4311588183237e-06,0.000189597758732839
"9",8,0.000129776557164022,0.000109261963337175,1.99398041900819e-06,0.000322513236679023
"10",9,0.000132094975584762,0.000119082750522818,3.79219410547938e-06,0.00030066688450664
"11",10,4.38021904676853e-05,3.21717576554188e-05,1.214744900861e-06,0.000121133749078693
