pop,Dtaj
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.47246981957304
paucaCA,-1.48925569255439
paucaCA,-1.52405278278397
paucaCA,-1.50051737270881
paucaCA,NA
paucaCA,-1.39030798108784
paucaCA,-1.4773937785402
paucaCA,-1.29503085280462
paucaCA,-1.36732419005365
paucaCA,-0.933020528695905
paucaCA,-1.36732419005365
paucaCA,-1.33698116636473
paucaCA,-1.51833306721429
paucaCA,-1.42283707476851
paucaCA,-1.48571130338902
paucaCA,-1.45325510045285
paucaCA,-1.50486429137474
paucaCA,-1.4347734852362
paucaCA,-1.50486429137474
paucaCA,-1.52321769787913
paucaCA,-1.23311176323927
paucaCA,-1.39030798108784
paucaCA,NA
paucaCA,-1.33698116636473
paucaCA,-1.42283707476851
paucaCA,NA
paucaCA,-1.23311176323927
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,-1.23311176323927
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-0.933020528695905
paucaCA,-1.45325510045285
paucaCA,NA
paucaCA,-1.50051737270881
paucaCA,-1.51718536841714
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-1.23311176323927
paucaCA,-0.933020528695905
paucaCA,-0.933020528695905
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-1.23311176323927
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-1.39030798108784
paucaCA,-1.48571130338902
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.4083272488195
paucaCA,-0.933020528695905
paucaCA,-1.29503085280462
paucaCA,-1.13197224468829
paucaCA,-1.36732419005365
paucaCA,-1.49246742690689
paucaCA,-1.45325510045285
paucaCA,-1.23311176323927
paucaCA,-1.33698116636473
paucaCA,NA
paucaCA,-1.46690227665812
paucaCA,-1.46690227665812
paucaCA,-1.29503085280462
paucaCA,NA
paucaCA,-1.29503085280462
paucaCA,NA
paucaCA,-1.53113212057711
paucaCA,-0.447361476896107
paucaCA,-0.933020528695905
paucaCA,-1.13197224468829
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-1.29503085280462
paucaCA,-1.13197224468829
paucaCA,-0.933020528695905
paucaCA,-1.13197224468829
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-0.933020528695905
paucaCA,-1.33698116636473
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-1.33698116636473
paucaCA,-1.23311176323927
paucaCA,-1.46690227665812
paucaCA,-1.46055600065981
paucaCA,-0.933020528695905
paucaCA,-1.33698116636473
paucaCA,-1.46055600065981
paucaCA,-1.51941757225239
paucaCA,-0.933020528695905
paucaCA,-1.29503085280462
paucaCA,-0.933020528695905
paucaCA,-1.42283707476851
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,-1.48925569255439
paucaCA,-1.44476631280255
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.23311176323927
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.13197224468829
paucaCA,-1.33698116636473
paucaCA,-1.47246981957304
paucaCA,-1.23311176323927
paucaCA,-1.4083272488195
paucaCA,-1.42283707476851
paucaCA,-1.53007514701081
paucaCA,-1.4347734852362
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,-1.23311176323927
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,-1.33698116636473
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.39030798108784
paucaCA,-1.46055600065981
paucaCA,-1.49806425260772
paucaCA,-1.51027262929752
paucaCA,-0.933020528695905
paucaCA,-1.22174818328769
paucaCA,-1.23311176323927
paucaCA,-0.771336984377384
paucaCA,-1.36732419005365
paucaCA,-0.933020528695905
paucaCA,-1.46690227665812
paucaCA,-0.838299238832951
paucaCA,-1.13197224468829
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,NA
paucaCA,NA
paucaCA,-1.13197224468829
paucaCA,-1.29503085280462
paucaCA,NA
paucaCA,-1.48571130338902
paucaCA,-1.47246981957304
paucaCA,-1.47246981957304
paucaCA,-1.36732419005365
paucaCA,-1.52141679151852
paucaCA,-0.899828124486901
paucaCA,-1.48571130338902
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.29503085280462
paucaCA,-1.51027262929752
paucaCA,NA
paucaCA,-1.29503085280462
paucaCA,-1.46690227665812
paucaCA,-1.51330257220054
paucaCA,-1.36732419005365
paucaCA,-1.33698116636473
paucaCA,-1.23311176323927
paucaCA,-1.50679905466224
paucaCA,-1.23311176323927
paucaCA,NA
paucaCA,-0.933020528695905
paucaCA,-1.33698116636473
paucaCA,-1.4083272488195
paucaCA,-1.23311176323927
paucaCA,-1.23311176323927
paucaCA,-1.46690227665812
paucaCA,-0.933020528695905
paucaCA,NA
paucaCA,-1.48571130338902
paucaCA,-1.13197224468829
paucaCA,-1.4083272488195
paucaCA,-1.45325510045285
paucaCA,-1.46690227665812
paucaCA,-1.4347734852362
paucaCA,-1.4347734852362
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,NA
paucaCA,-1.29503085280462
paucaCA,-1.23311176323927
