"cluster" "start" "end" "size" "node"
"1" "cluster29" 31517 32345 828 5
"2" "cluster29" 32774 33154 380 5
"3" "cluster31" 33958 34605 647 5
"4" "cluster53" 61267 61437 170 5
"5" "cluster54" 61438 61799 361 5
"6" "cluster66" 91069 91134 65 5
"7" "cluster67" 91135 92769 1634 5
"8" "cluster73" 107307 109157 1850 5
"9" "cluster74" 110593 111455 862 5
"10" "cluster74" 111903 112287 384 5
"11" "cluster75" 112288 112938 650 5
"12" "cluster75" 113167 113241 74 5
"13" "cluster76" 113242 113674 432 5
"14" "cluster77" 113675 114499 824 5
"15" "cluster78" 118633 119110 477 5
"16" "cluster78" 119411 119634 223 5
"17" "cluster82" 121966 122045 79 5
"18" "cluster83" 122571 123139 568 5
"19" "cluster83" 123587 124306 719 5
"20" "cluster119" 176783 177998 1215 5
"21" "cluster121" 182761 182962 201 5
"22" "cluster125" 193552 193676 124 5
"23" "cluster126" 193677 193851 174 5
"24" "cluster127" 193852 194006 154 5
"25" "cluster127" 200129 200499 370 5
"26" "cluster127" 203249 205249 2000 5
"27" "cluster146" 231250 231711 461 5
"28" "cluster146" 232208 232353 145 5
"29" "cluster147" 232354 233425 1071 5
"30" "cluster150" 235542 235550 8 5
"31" "cluster151" 235551 236208 657 5
"32" "cluster179" 260395 260754 359 5
"33" "cluster218" 300930 302517 1587 5
"34" "cluster220" 308271 308411 140 5
"35" "cluster221" 308745 308876 131 5
"36" "cluster249" 334979 335208 229 5
"37" "cluster257" 351777 351844 67 5
"38" "cluster258" 353421 353599 178 5
"39" "cluster259" 355635 355935 300 5
"40" "cluster267" 368917 369223 306 5
"41" "cluster267" 369907 370569 662 5
"42" "cluster293" 408879 409077 198 5
"43" "cluster294" 409078 409102 24 5
"44" "cluster295" 409103 409370 267 5
"45" "cluster295" 410312 413116 2804 5
"46" "cluster296" 414759 414829 70 5
"47" "cluster297" 414830 415079 249 5
"48" "cluster297" 415909 416037 128 5
"49" "cluster303" 422364 424654 2290 5
"50" "cluster308" 431358 431665 307 5
"51" "cluster309" 431666 433185 1519 5
"52" "cluster311" 436501 436931 430 5
"53" "cluster312" 441279 441779 500 5
"54" "cluster321" 454661 455669 1008 5
"55" "cluster322" 455670 456790 1120 5
"56" "cluster323" 458653 460957 2304 5
"57" "cluster323" 461207 462014 807 5
"58" "cluster324" 462015 462139 124 5
"59" "cluster325" 463151 463420 269 5
"60" "cluster326" 463421 466136 2715 5
"61" "cluster327" 466620 466758 138 5
"62" "cluster327" 466860 466946 86 5
"63" "cluster328" 466947 467187 240 5
"64" "cluster329" 467188 468895 1707 5
"65" "cluster357" 508730 509086 356 5
"66" "cluster358" 509087 509746 659 5
"67" "cluster358" 511637 511787 150 5
"68" "cluster358" 512387 512787 400 5
"69" "cluster361" 518319 518711 392 5
"70" "cluster361" 519166 519935 769 5
"71" "cluster361" 520353 520481 128 5
"72" "cluster361" 521681 521731 50 5
"73" "cluster368" 535331 535743 412 5
"74" "cluster377" 575143 575160 17 5
"75" "cluster378" 575161 575971 810 5
"76" "cluster378" 576124 576501 377 5
"77" "cluster379" 576502 576545 43 5
"78" "cluster397" 604253 604910 657 5
"79" "cluster427" 658219 658611 392 5
"80" "cluster428" 658612 658646 34 5
"81" "cluster429" 658647 658959 312 5
"82" "cluster429" 659445 661845 2400 5
"83" "cluster435" 683823 683950 127 5
"84" "cluster439" 697371 697575 204 5
"85" "cluster439" 698175 699695 1520 5
"86" "cluster440" 703086 704940 1854 5
"87" "cluster440" 705273 705573 300 5
"88" "cluster445" 713386 714363 977 5
"89" "cluster446" 719976 720240 264 5
"90" "cluster450" 730203 730472 269 5
"91" "cluster451" 733301 733615 314 5
"92" "cluster476" 742972 743089 117 5
"93" "cluster477" 743090 743165 75 5
"94" "cluster529" 791645 792056 411 5
"95" "cluster559" 857683 857709 26 5
"96" "cluster560" 857710 858233 523 5
"97" "cluster595" 902563 904018 1455 5
"98" "cluster596" 904019 905161 1142 5
"99" "cluster605" 916057 916145 88 5
"100" "cluster605" 916367 916971 604 5
"101" "cluster606" 916972 917908 936 5
"102" "cluster607" 917909 918047 138 5
"103" "cluster633" 944482 944844 362 5
"104" "cluster648" 963384 964418 1034 5
"105" "cluster648" 964999 965561 562 5
"106" "cluster707" 1047587 1048000 413 5
"107" "cluster708" 1048001 1048437 436 5
"108" "cluster708" 1050483 1050552 69 5
"109" "cluster709" 1050553 1050935 382 5
"110" "cluster709" 1053335 1053492 157 5
"111" "cluster709" 1054347 1054543 196 5
"112" "cluster710" 1054544 1054895 351 5
"113" "cluster710" 1056013 1056105 92 5
"114" "cluster716" 1060969 1061119 150 5
"115" "cluster717" 1061940 1063519 1579 5
"116" "cluster729" 1086743 1087212 469 5
"117" "cluster730" 1087941 1088107 166 5
"118" "cluster731" 1088108 1088314 206 5
"119" "cluster741" 1103264 1104071 807 5
"120" "cluster741" 1105371 1105771 400 5
"121" "cluster741" 1106516 1106747 231 5
"122" "cluster752" 1115049 1115199 150 5
"123" "cluster762" 1121479 1122205 726 5
"124" "cluster777" 1155281 1155490 209 5
"125" "cluster778" 1155491 1156058 567 5
"126" "cluster779" 1156059 1156157 98 5
"127" "cluster787" 1167591 1167662 71 5
"128" "cluster788" 1167663 1168119 456 5
"129" "cluster799" 1175704 1175884 180 5
"130" "cluster802" 1179808 1180216 408 5
"131" "cluster806" 1181837 1181899 62 5
"132" "cluster807" 1181900 1182089 189 5
"133" "cluster842" 1231303 1231617 314 5
"134" "cluster843" 1232017 1232270 253 5
"135" "cluster843" 1233152 1234267 1115 5
"136" "cluster846" 1238445 1238611 166 5
"137" "cluster847" 1241109 1242147 1038 5
"138" "cluster847" 1243078 1243218 140 5
"139" "cluster847" 1243542 1243924 382 5
